"","race_category","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","African American","2017_2019",67514.3564201522,19394.4116842153,0.0936965833647732,0.0254992024487745,217,"2021",43565.6104558414,15041.8757774166,0.0971773559896474,0.0330872663701976,44
"2","Asian","2017_2019",73969.5291209758,11924.4376073669,0.102655087291446,0.0170708145779091,1289,"2021",110346.197401763,27388.7692034895,0.246137988078558,0.0546611512358135,86
"3","Hispanic","2017_2019",35852.3626607023,12513.7488631204,0.0497559936135284,0.0170002289675334,424,"2021",19912.2284923831,10975.799650194,0.0444161735943736,0.0242214111934143,21
"4","Missing","2017_2019",64276.764587895,20623.4342650125,0.0892034457700904,0.0269965084469246,363,"2021",14154.3626356756,8082.76396867092,0.0315726905295592,0.0180324439316638,26
"5","Other","2017_2019",54401.6189230502,15297.3393848972,0.0754986952831372,0.0205586189120223,387,"2021",20656.069046071,7700.81720257234,0.046075382716636,0.0176476438497532,39
"6","White Only","2017_2019",424549.064375372,45747.3324213147,0.589190194677025,0.0399556829424845,5275,"2021",239675.840601099,36335.3313776513,0.534620409091226,0.0606405342581667,221
