"","edu_simple","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Bachelors or higher","2017_2019","Transit",222448.527770468,24519.8383285111,0.0529403479796756,0.00594508798312703,3675,"2021","Transit",76792.5894899386,22789.9819031877,0.0223632477232753,0.00656848111515239,103
"2","Less than Bachelors degree","2017_2019","Transit",498115.16831768,53672.1746631909,0.0517809206281347,0.00549297353518309,4280,"2021","Transit",371517.719142894,49287.8933780337,0.035558320637965,0.00468285134287125,334
