"","gender","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Female","2017_2019","Transit",342682.589355261,38875.7402170251,0.0479916003347947,0.0054122541849441,3812,"2021","Transit",231754.853814075,40115.6927794838,0.0330841085616446,0.00566041621050181,214
"2","Male","2017_2019","Transit",367274.667061095,44336.7997653932,0.0574856782147763,0.00682950266422296,3983,"2021","Transit",197455.472248982,35189.697546431,0.0296344844558297,0.00524190472554594,201
