"","age_category","survey.x","mode_simple.x","count.x","count_moe.x","share.x","share_moe.x","sample_size.x","survey.y","mode_simple.y","count.y","count_moe.y","share.y","share_moe.y","sample_size.y"
"1","18-64 years","2017_2019","Transit",625212.964245052,53104.2376578767,0.0545362525755101,0.00460490988503937,7438,"2021","Transit",396859.490639982,51004.4016856713,0.0353078808981785,0.00450424121331457,382
"2","65 years+","2017_2019","Transit",95350.7318430962,25644.0013029937,0.0404480017912307,0.0106768185628283,517,"2021","Transit",51450.8179928504,18522.6527467041,0.0194739802818787,0.00695176442058791,55
