"","age_category","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","18-64 years","2017_2019",625212.964245052,51996.2941137966,0.867672029050667,0.0324014869531551,7438,"2021",396859.490639982,40865.2385680185,0.885233917217396,0.0389461537184825,382
"2","65 years+","2017_2019",95350.7318430962,25592.4156604415,0.132327970949333,0.0324014869531551,517,"2021",51450.8179928504,18113.2772771923,0.114766082782604,0.0389461537184825,55
