"","student","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Full-time student","2017_2019",74897.8654710588,16476.6804648486,0.103943434671591,0.0221315349940446,769,"2021",38759.7032201242,14229.1308712529,0.0864573097556597,0.031350417321022,35
"2","No, not a student","2017_2019",611704.090194927,52982.9451947029,0.848924381724744,0.0301084915302786,6931,"2021",390432.563809062,41985.717479407,0.870898028197758,0.0359579592663715,379
"3","Part-time student","2017_2019",33961.7404221616,16923.0545476097,0.0471321836036643,0.0226986109079609,255,"2021",19118.0416036461,8308.49131989735,0.0426446620465822,0.0187502344205153,23
