"","rent_own","survey17_19","mode_simple17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","mode_simple21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Other","2017_2019","Transit",1170.5792136017,861.217292510184,0.00494542075182957,0.00377615733043446,40,"2021","Transit",11619.5164892335,8760.16521462284,0.114349226692968,0.0816564086307504,10
"2","Own/paying mortgage","2017_2019","Transit",318141.52993205,42423.2149409034,0.0335416349127603,0.00443209740341391,2863,"2021","Transit",127742.848378982,29619.2929363934,0.0140193013015082,0.00323885130292276,103
"3","Prefer not to answer","2017_2019","Transit",25625.1229263343,13476.8008477806,0.0780702079239887,0.0410221176898233,67,"2021","Transit",2646.1716042428,1789.33067210271,0.0218122619148641,0.0152833711739168,6
"4","Provided by job or military","2017_2019","Transit",97.2245341907208,38.8430851669367,0.00281589362627972,0.00130751338324987,21,"2021","Transit",7942.73030466177,8347.61012390569,0.0654248713436598,0.0667668242566226,5
"5","Rent","2017_2019","Transit",375529.239481971,38756.9252408564,0.100486667846492,0.0101350411353862,4964,"2021","Transit",280563.758310078,41469.5529959426,0.0673274593277172,0.00969111030361784,308
