"","hhincome_detailed","survey.x","mode_simple.x","count.x","count_moe.x","share.x","share_moe.x","sample_size.x","survey.y","mode_simple.y","count.y","count_moe.y","share.y","share_moe.y","sample_size.y"
"1","$10,000-$24,999","2017_2019","Transit",83145.2746630331,19943.6418897915,0.0906214731776315,0.0214702698051043,611,"2021","Transit",102482.129571688,28052.4683053176,0.175810298863619,0.042078947572288,86
"2","$100,000-$149,999","2017_2019","Transit",96717.7915894134,15039.7240032903,0.0364429902899639,0.00583149636672624,1620,"2021","Transit",76878.8536243842,23276.8686771377,0.028041139624243,0.00838445661497175,63
"3","$150,000-$199,999","2017_2019","Transit",74025.7955691103,18149.1229149853,0.0499317498597988,0.0120654297084904,745,"2021","Transit",2834.27169663696,1874.0223859044,0.00194014807495696,0.00128902296668657,8
"4","$200,000-$249,999","2017_2019","Transit",67917.9853155935,28956.4270807807,0.0826730786354812,0.0334212992732216,486,"2021","Transit",7076.28625775705,7786.28786027305,0.00612834070836973,0.00672519418121756,5
"5","$25,000-$34,999","2017_2019","Transit",52737.0880163305,18441.7549909862,0.0736318801119149,0.0249985152505359,533,"2021","Transit",28953.8931295695,9067.038487468,0.0687699299188297,0.0214013846349407,50
"6","$250,000 or more","2017_2019","Transit",25714.0014116035,8441.98828098979,0.0286178636483071,0.00954502937129365,429,"2021","Transit",4949.87313457358,4150.35649406368,0.00426799228141034,0.00358274711038089,4
"7","$35,000-$49,999","2017_2019","Transit",45115.1041140331,10185.673062829,0.0416790584341939,0.0097863161532106,654,"2021","Transit",50587.2283789753,18928.113309398,0.0443407935083942,0.016249772699805,54
"8","$50,000-$74,999","2017_2019","Transit",96973.075518079,19648.1957344598,0.0501050727599639,0.0100292372023247,1037,"2021","Transit",60791.5628039007,17760.6237747328,0.0387711671258087,0.011186607330518,66
"9","$75,000-$99,999","2017_2019","Transit",64943.9648589905,14796.1905710329,0.0369376844750052,0.00841576468943811,907,"2021","Transit",38522.7865915621,17269.8908759415,0.0217980000752047,0.00966543241376218,27
"10","Prefer not to answer","2017_2019","Transit",50316.8291018638,14897.1086515066,0.04176445631179,0.012280524046493,652,"2021","Transit",39830.6790650724,16651.007984887,0.0246274417887248,0.0102020428252613,38
"11","Under $10,000","2017_2019","Transit",62956.7859300971,18928.7687016889,0.179643662629533,0.0507835910905079,281,"2021","Transit",35402.7443787119,15386.8150352335,0.132252966211128,0.0535396283897384,36
