"","gender_grp","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","Female","2017_2019",342682.589355261,38424.1330080083,0.475575707207625,0.0408039477318724,3812,"2021",231754.853814075,35961.0882507733,0.516951873180955,0.0608602468683209,214
"2","Male","2017_2019",367274.667061095,43882.5455550675,0.509704650754658,0.0409258875116817,3983,"2021",197455.472248982,31765.2727669059,0.440443747214161,0.0602439136017986,201
"3","Non-binary, another, not listed/prefer not to answer","2017_2019",10606.4396717921,2586.8721953498,0.0147196420377174,0.00374686845580936,160,"2021",4516.21315155749,2424.63120961378,0.0100738552395329,0.00554879514226525,12
