"","hhsize_simple","survey17_19","count17_19","count_moe17_19","share17_19","share_moe17_19","sample_size17_19","survey21","count21","count_moe21","share21","share_moe21","sample_size21"
"1","1 person","2017_2019",215564.555146418,34575.3366387453,0.299160998974403,0.0392358173004144,2923,"2021",159761.821311846,30710.5906792091,0.35636437136379,0.0588647333674124,171
"2","2 people","2017_2019",216121.371084146,20038.440465158,0.299933749448442,0.0304497910874257,3692,"2021",142336.356807533,25598.4744168827,0.317495168116036,0.0540285293490415,158
"3","3 people","2017_2019",146764.682768369,33652.9588726254,0.203680373525805,0.0397526836987732,822,"2021",87884.2689053657,24875.4254711027,0.196034459197197,0.0508802600539956,65
"4","4 or more people","2017_2019",142113.087089216,26818.8581479408,0.197224878051351,0.0332967780285339,518,"2021",58327.8616080872,20532.3580230052,0.130106001322976,0.0433761624357251,43
