rectype,qno,pernum,final,perstype,samptyp,sex,age,agerng,age18,relat,ldrv,wkrstat,wrkr,nowrk,transit,tpass,ptype1,ptype2,ptype3,fvalue1,fvalue2,fvalue3,fvalue1c,fvalue2c,fvalue3c,pcost1,pcost2,pcost3,cost1c,cost2c,cost3c,edu,sstatus,stype,scnty,scity,sstate,szip,staz,stract,disabl,homeact1,homeact2,homeact3,homeact4,attd1a,attd1b,attd1c,attd1d,attd1e,attd1f,attd1g,attd1h,attd1i,attd1j,attd2a,attd2b,attd2c,attd2d,attd2e,attd2f,attd3,proxy,proxynum,assure,gps,spsrecv,spscompl,expfac2
2,2001,1,1,1,1,2,37,6,1,0,1,1,1, ,1,1,17, , ,4.75, , ,98, , ,-97, , ,9, , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,324.86
2,2006,1,1,4,1,2,43,6,1,0,2,99,99, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,1,2,2,2,1,8,7,9,7,7,7,7,5,99,7,7,8,9,8,9,7, ,1, ,1, , , ,356.76
2,2006,2,1,4,1,2,39,6,1,3,1,99,99, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,356.76
2,2006,3,1,1,1,2,64,8,1,4,1,1,1, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,356.76
2,2015,1,1,1,1,2,36,6,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,1,2,2,2,1,8,8,9,5,5,1,5,8,8,8,5,1,8,10,1,1, ,1, , , ,411.65
2,2015,2,1,7,1,1,10,2,2,2,3,3, , ,1,2, , , , , , , , , , , , , , , ,8, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,411.65
2,2015,3,1,7,1,1,8,2,2,2,3,3, , ,1,2, , , , , , , , , , , , , , , ,8, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,411.65
2,2016,1,1,1,1,2,35,6,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,98.36
2,2033,1,1,2,1,2,58,8,1,0,1,1,2, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2,2,1,2,2,1,1,10,10,1,10,10,1,3,10,10,5,5,1,10,10,9,1, ,1, , , ,218.57
2,2033,2,1,1,1,1,59,8,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,218.57
2,2058,1,1,1,1,2,51,7,1,0,1,1,1, ,2,98, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,416.17
2,2058,2,1,1,1,1,49,7,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,416.17
2,2062,1,1,4,1,1,47,7,1,0,2,99,5,98,1,1,4,1, ,300,300, ,8,8, ,300,-97, ,8,9, ,1, , , , , , , , ,2,2,2,2,2,10,8,10,10,5,10,10,10,10,1,10,10,10,8,10,10, ,1, ,1, , , ,223.48
2,2065,1,1,1,1,1,51,7,1,0,1,1,1, ,1,98, , , , , , , , , , , , , , , ,6, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,205.05
2,2065,2,1,1,1,2,47,7,1,1,1,1,1, ,2,98, , , , , , , , , , , , , , , ,6, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,205.05
2,2067,1,1,3,1,2,78,10,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,267.69
2,2067,2,1,2,1,1,80,10,1,1,1,1,2, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,267.69
2,2070,1,1,1,1,1,61,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2,2,1,1,2,10,1,7,1,1,5,8,1,5,10,10,5,5,5,10,10,5,1, ,1, , , ,442.41
2,2070,2,1,1,1,2,58,8,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,442.41
2,2070,3,1,1,1,2,35,6,1,2,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,442.41
2,2071,1,1,1,1,2,48,7,1,0,1,1,1, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,1,1,2,2,8,10,10,1,1,10,2,5,7,10,5,8,5,10,10,4,1, ,1, , , ,171.91
2,2071,2,1,1,1,1,55,8,1,1,1,1,1, ,98,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,171.91
2,2071,3,1,7,1,1,14,2,2,2,3,3, , ,1,1,2, , ,-98, , , , , ,-98, , , , , ,8,1,2,1,SEATTLE,WA,98144,157,9000,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,171.91
2,2071,4,1,7,1,2,6,2,2,2,3,3, , ,2,2, , , , , , , , , , , , , , , ,8,1,2,1,SEATTLE,WA,98144,169,9500,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,171.91
2,2089,1,1,1,1,1,49,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2,2,2,2,2,1,6,5,10,2,8,8,2,4,2,8,7,8,6,8,8,2,1, ,1, , , ,235.57
2,2089,2,1,1,1,2,50,7,1,1,1,1,1, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,235.57
2,2089,3,1,5,1,2,18,4,1,2,1,99,5,98,2,2, , , , , , , , , , , , , , , ,1,1,5,2,BREMERTON,WA,98337,886,80600,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,235.57
2,2089,4,1,7,1,1,15,2,2,2,3,3, , ,2,2, , , , , , , , , , , , , , , ,8,1,2,2,PORT ORCHARD,WA,98366,928,92200,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,235.57
2,2109,1,1,1,1,1,28,5,1,0,1,1,1, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,980.92
2,2110,1,1,1,1,1,46,7,1,0,1,1,1, ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,696.56
2,2110,2,1,7,1,1,10,2,2,2,3,3, , ,2,98, , , , , , , , , , , , , , , ,8,1,2,1,COVINGTON,WA,98042,481,32005,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,696.56
2,2110,3,1,7,1,2,9,2,2,2,3,3, , ,2,2, , , , , , , , , , , , , , , ,8,1,2,1,COVINGTON,WA,98042,481,32005,98, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,696.56
2,2116,1,1,3,1,1,66,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,66.21
2,2116,2,1,4,1,2,63,8,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,66.21
2,2120,1,1,1,1,2,49,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,335.56
2,2120,2,1,1,1,2,54,7,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,335.56
2,2128,1,1,1,1,1,45,7,1,0,1,1,1, ,1,1,17, , ,4.75, , ,3, , ,40, , ,3, , ,3, , , , , , , , ,2,2,2,1,1,10,7,10,10,6,8,7,10,5,1,8,9,8,4,9,8,4,1, ,1, , , ,256.11
2,2138,1,1,4,1,1,62,8,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,99,10,10,10,10,10,10,10,5,10,10,10,10,8,10,5, ,1, , ,1, , ,258.22
2,2138,2,1,3,1,2,96,11,1,4,2,99,4, ,2,99, , , , , , , , , , , , , , , ,2, , , , , , , , ,99, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,258.22
2,2158,1,1,4,1,1,63,8,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,1,1,1,2,2,5,7,8,7,9,3,8,7,2,5,7,9,9,4,9,9, ,1, , ,1, , ,70.13
2,2163,1,1,4,1,2,61,8,1,0,1,2,5,2,1,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,97.49
2,2163,2,1,3,1,1,69,9,1,1,1,2,5,2,1,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,97.49
2,2206,1,1,1,1,2,50,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,2,2,2,5,1,10,10,4,10,5,3,3,10,10,8,8,3,10,5,4,1, ,1, , , ,279.85
2,2220,1,1,1,1,2,51,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,98,1,2,2,6,9,9,6,5,8,4,2,7,8,9,6,7,9,9,5,1, ,1, , , ,569.69
2,2220,2,1,1,1,1,25,5,1,2,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,569.69
2,2220,3,1,6,1,2,16,3,2,2,2,99,5,98,1,2, , , , , , , , , , , , , , , ,8,1,2,1,DES MOINES,WA,98198,380,28902,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,569.69
2,2229,1,1,3,1,1,70,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,2,2,2,1,1,10,10,1,10,5,10,1,10,10,10,10,10,10,10, ,1, ,1, , , ,307.94
2,2229,2,1,4,1,2,63,8,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,307.94
2,2237,1,1,3,1,2,77,10,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,2,2,1,8,10,5,5,5,5,10,1,10,10,10,10,10,5,5, ,1, ,1, , , ,119.98
2,2237,2,1,3,1,1,81,10,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,119.98
2,2238,1,1,3,1,1,76,10,1,0,1,2,4, ,1,1,2, , ,-97, , ,1, , ,-97, , ,9, , ,6, , , , , , , , ,2,2,2,1,2,5,8,10,10,3,8,6,5,6,5,9,8,5,3,8,7, ,1, ,1, , , ,123.57
2,2238,2,1,1,1,1,49,7,1,2,1,1,1, ,98,1,29, , ,-97, , ,9, , ,-97, , ,9, , ,3, , , , , , , , ,2,1,1,1,2, , , , , , , , , , , , , , , , , ,1, ,1, , , ,123.57
2,2254,1,1,1,1,2,59,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,2,2,2,1,8,10,10,1,8,5,3,9,10,8,7,8,4,8,4,4,1, ,1, , , ,231.76
2,2262,1,1,2,1,2,52,7,1,0,1,1,2, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,2,2,1,1,10,8,10,3,8,10,8,10,8,8,8,10,2,8,5,5,1, ,1, , , ,327.43
2,2262,2,1,2,1,1,49,7,1,1,1,1,2, ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,327.43
2,2262,3,1,6,1,1,17,3,2,2,2,1,2, ,2,2, , , , , , , , , , , , , , , ,8,1,2,2,POULSBO,WA,98370,903,90500,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,327.43
2,2318,1,1,3,1,2,74,9,1,0,1,2,3, ,2,1,4, , ,-97, , ,9, , ,-97, , ,9, , ,2, , , , , , , , ,2,2,2,1,2,5,8,10,10,10,99,7,5,5,10,5,10,7,7,10,7, ,1, ,1, , , ,120.02
2,2318,2,1,2,1,1,77,10,1,1,1,1,2, ,2,1,4, , ,-97, , ,9, , ,-97, , ,9, , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,120.02
2,2324,1,1,4,1,2,51,7,1,0,1,99,5,98,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,1,8,7,8,6,5,5,1,4,7,8,10,9,10,7,7, ,1, ,1, , , ,596.12
2,2324,2,1,1,1,1,38,6,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,596.12
2,2324,3,1,7,1,2,7,2,2,2,3,3, , ,2,2, , , , , , , , , , , , , , , ,8,1,2,1,AUBURN,WA,98092,446,31000,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,596.12
2,2325,1,1,1,1,2,30,5,1,0,1,1,1, ,1,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,1,2,2,6,5,5,10,3,6,8,10,5,7,10,7,4,5,8,7,3,1, ,1, , , ,409.37
2,2327,1,1,4,1,2,63,8,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,2,2,1,7,10,7,3,6,10,1,3,10,10,10,9,5,5,8, ,1, ,1, , , ,282.65
2,2327,2,1,4,1,1,63,8,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,282.65
2,2329,1,1,3,1,1,86,11,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2,2,2,2,2,1,7,10,8,7,99,10,4,1,1,5,8,4,10,3,6, ,1, ,1, , , ,397.13
2,2329,2,1,3,1,2,82,10,1,1,2,99,5,98,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2, , , , , , , , , , , , , , , , , ,1, ,1, , , ,397.13
2,2330,1,1,1,1,2,52,7,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,1,2,1,8,10,4,7,7,8,1,4,10,10,10,10,8,10,10,1,1, ,1, , , ,210.61
2,2330,2,1,4,1,1,52,7,1,1,1,2,5,1,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,1,2, , , , , , , , , , , , , , , , , ,1, ,1, , , ,210.61
2,2343,1,1,3,1,2,78,10,1,0,1,99,5,98,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2,2,2,2,2,1,1,10,10,10,1,10,1,1,10,99,10,99,99,99,99, ,1, ,1, , , ,262.72
2,2354,1,1,4,1,1,51,7,1,0,1,99,5,98,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,1,2,1,2,2,1,10,10,1,10,10,3,99,1,10,10,10,5,1,10,10, ,1, ,1, , , ,329.44
2,2367,1,1,3,1,1,68,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,2,2,2,5,5,10,8,7,5,8,8,8,8,7,9,9,8,8,8, ,1, ,1, , , ,300.73
2,2367,2,1,3,1,2,69,9,1,1,1,2,4, ,2,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,2,1,1, , , ,300.73
2,2426,1,1,1,1,1,35,6,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,4, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,234.77
2,2426,2,1,1,1,1,40,6,1,6,1,1,1, ,1,1,2, , ,-98, , , , , ,19, , ,2, , ,5, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,234.77
2,2456,1,1,2,1,1,55,8,1,0,1,1,2, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2,2,2,2,2,1,2,9,4,4,6,5,1,6,3,8,7,6,3,10,6,9,1, ,1, , , ,302.95
2,2456,2,1,1,1,2,49,7,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,5, , , , , , , , ,2,2,2,2,1, , , , , , , , , , , , , , , , , ,1, ,1, , , ,302.95
2,2456,3,1,5,1,1,18,4,1,2,1,1,2, ,2,2, , , , , , , , , , , , , , , ,1,1,2,4,MOUNTLAKE TERR,WA,98043,586,51300,2, , , , , , , , , , , , , , , , , , , , , ,2,2,1, , , ,302.95
2,2456,4,1,6,1,1,16,3,2,2,1,99,5,98,2,2, , , , , , , , , , , , , , , ,8,1,2,4,MOUNTLAKE TERR,WA,98043,586,51300,2, , , , , , , , , , , , , , , , , , , , , ,2,2,1, , , ,302.95
2,2457,1,1,1,1,1,64,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,211
2,2457,2,1,4,1,2,63,8,1,1,1,2,4, ,1,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,211
2,2482,1,1,4,1,2,58,8,1,0,1,2,4, ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,80.23
2,2482,2,1,4,1,1,56,8,1,1,1,2,4, ,1,2, , , , , , , , , , , , , , , ,2, , , , , , , , ,98, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,80.23
2,2495,1,1,1,1,2,59,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,96.47
2,2495,2,1,2,1,1,66,9,1,1,1,1,2, ,2,99, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, ,1, , , ,96.47
2,2502,1,1,1,1,2,59,8,1,0,1,1,1, ,2,2, , , , , , , , , , , , , , , ,6, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,118.64
2,2502,2,1,1,1,1,60,8,1,1,1,1,1, ,2,2, , , , , , , , , , , , , , , ,7, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,118.64
2,2503,1,1,3,1,1,72,9,1,0,1,2,4, ,2,2, , , , , , , , , , , , , , , ,3, , , , , , , , ,2, , , , , , , , , , , , , , , , , , , , , ,3, , ,1, , ,210.85
