,recordID,personID,tripID_x,tripnum,total_trip,Last,college,place_start,place_end,olat,olng,dlat,dlng,address_start,cnty_start,city_start,zip_start,state_start,address_end,cnty_end,city_end,zip_end,state_end,time_start_mam,time_start_hhmm,time_start_past,time_end_mam,time_end_hhmm,time_end_past,trip_dur_reported,gdist,gtime,implied_speed_mph,a_dur,o_purpose,d_purpose,mode,travelers_total,vehicle,driver,toll,pool_start,change_vehicles,park,park_off,park_campus_area,park_campus_lot,bikeshare,taxi_type,taxi_fare,mode_acc,mode_egr,transitsystem1,transitsystem2,transitsystem3,transitsystem4,transitsystem5,transitsystem6,transitline1,transitline2,transitline3,transitline4,transitline5,transitline6,mode_old,traveldate,linked_flag,tripID_y,set_size
1170,B03071,300064,30006408,8,10,,4,4TH FLOOR,BUS STOP,47.616141,-122.321289,47.619847,-122.321724, 1701 BROADWAY,1,SEATTLE,98122,WA,E OLIVE WAY / BROADWAY,1,SEATTLE,98102,WA,950,15:50,,960,16:00,,10,0.3,1.0,2.0,5,2,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30006404,3,3
1169,B03072,300064,30006409,9,10,,4,BUS STOP,BUS STOP,47.619847,-122.321724,47.519852,-122.265095,E OLIVE WAY / BROADWAY,1,SEATTLE,98102,WA,RAINIER AVE S / 54TH AVE S,1,SEATTLE,98118,WA,965,16:05,,1025,17:05,,60,10.51,15.0,11.0,0,1,1,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,72.0,,,,,,7.0,15-Oct-14,30006404,3,3
1171,B03073,300064,30006410,10,10,1.0,4,BUS STOP,HOME (OFF-CAMPUS),47.519852,-122.265095,47.518157,-122.2636,RAINIER AVE S / 54TH AVE S,1,SEATTLE,98118,WA, 9326 55TH AVE S,1,SEATTLE,98118,WA,1025,17:05,,1030,17:10,,5,0.14,2.0,2.0,590,1,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30006404,3,3
1590,B03212,300093,30009309,9,13,,4,ADVISING,EAST LOT,47.698899,-122.333531,47.70061,-122.331959, 9600 COLLEGE WAY N,1,SEATTLE,98103,WA, 9600 COLLEGE WAY N,1,SEATTLE,98103,WA,900,15:00,,910,15:10,,10,0.26,1.0,2.0,0,17,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30009304,3,3
1589,B03213,300093,30009310,10,13,,4,EAST LOT,PARKING GARAGE,47.70061,-122.331959,47.621574,-122.337955, 9600 COLLEGE WAY N,1,SEATTLE,98103,WA,  320 WESTLAKE AVE N,1,SEATTLE,98109,WA,910,15:10,,950,15:50,,40,7.15,13.0,11.0,0,3,3,1,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30009304,3,3
1591,B03214,300093,30009311,11,13,,4,PARKING GARAGE,WORK,47.621574,-122.337955,47.623002,-122.337374,  320 WESTLAKE AVE N,1,SEATTLE,98109,WA,  401 TERRY AVE N,1,SEATTLE,98109,WA,950,15:50,,960,16:00,,10,0.13,1.0,1.0,370,3,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30009304,3,3
1732,B03310,300116,30011601,1,5,,4,HOME (OFF-CAMPUS),AURORA VILLAGE,47.806928,-122.335734,47.77437,-122.341642,76TH AVE W / 212TH ST SW,4,EDMONDS,98026,WA,AURORA VILLAGE TRANSIT CENTER,1,SHORELINE,98133,WA,395,6:35,,405,6:45,,10,2.59,6.0,16.0,15,1,3,8,6.0,,,,,,,,,,,,,5.0,1.0,1.0,,,,,,47.0,,,,,,7.0,15-Oct-14,30011601,3,3
1731,B03311,300116,30011602,2,5,,4,AURORA VILLAGE,NORTHGATE TRANSIT CENTER,47.77437,-122.341642,47.702278,-122.327871,AURORA VILLAGE TRANSIT CENTER,1,SHORELINE,98133,WA,NORTHGATE TRANSIT CENTER ACCESS ROAD,1,SEATTLE,98125,WA,420,7:00,,440,7:20,,20,5.99,11.0,18.0,0,3,3,8,6.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,233.0,,,,,,7.0,15-Oct-14,30011601,3,3
1733,B03312,300116,30011603,3,5,,4,NORTHGATE TRANSIT CENTER,WORK,47.702278,-122.327871,47.701022,-122.323832,NORTHGATE TRANSIT CENTER ACCESS ROAD,1,SEATTLE,98125,WA, 9800 5TH AVE NE,1,SEATTLE,98115,WA,440,7:20,,450,7:30,,10,0.32,2.0,2.0,270,3,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30011601,3,3
2607,B03326,300118,30011805,5,9,,4,SEATTLE CENTRAL COLLEGE - BE BLDG,BUS STOP,47.616734,-122.321533,47.615306,-122.324662, 1701 BROADWAY,1,SEATTLE,98122,WA,BELMONT AVE / E PINE ST,1,SEATTLE,98122,WA,1140,19:00,,1145,19:05,,5,0.27,4.0,3.0,0,2,6,7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30011803,4,4
2606,B03327,300118,30011806,6,9,,4,BUS STOP,WESTLAKE,47.615306,-122.324662,47.611507,-122.337295,BELMONT AVE / E PINE ST,1,SEATTLE,98122,WA,  400 PINE ST,1,SEATTLE,98101,WA,1145,19:05,,1150,19:10,,5,0.74,6.0,9.0,20,6,6,8,2.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,75.0,,,,,,7.0,15-Oct-14,30011803,4,4
2608,B03329,300118,30011808,8,9,,4,FRIEND'S HOUSE,BUS STOP,47.545352,-122.279882,47.54562,-122.275649, 4220 S EDDY ST,1,SEATTLE,98118,WA,RAINIER AVE S / S GRAHAM ST,1,SEATTLE,98118,WA,1215,20:15,,1220,20:20,,5,0.24,5.0,3.0,10,9,1,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30011803,4,4
2605,B03330,300118,30011809,9,9,1.0,4,BUS STOP,HOME (OFF-CAMPUS),47.54562,-122.275649,47.526571,-122.267362,RAINIER AVE S / S GRAHAM ST,1,SEATTLE,98118,WA, 8431 GRATTAN PL S,1,SEATTLE,98118,WA,1230,20:30,,1250,20:50,,20,1.63,4.0,5.0,370,1,1,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,71.0,,,,,,7.0,15-Oct-14,30011803,4,4
780,B03398,300136,30013601,1,6,,4,HOME (OFF-CAMPUS),DROVE TO SODO,47.432385,-122.21403,47.577152,-122.324912, 5301 TALBOT RD S,1,RENTON,98055,WA, 2920 6TH AVE S,1,SEATTLE,98134,WA,375,6:15,,410,6:50,,35,14.32,18.0,25.0,0,1,3,1,,1.0,,1.0,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,1.0,15-Oct-14,30013601,3,3
782,B03399,300136,30013602,2,6,,4,DROVE TO SODO,BUS STOP,47.577152,-122.324912,47.580159,-122.327582, 2920 6TH AVE S,1,SEATTLE,98134,WA,SODO BUSWAY / S LANDER ST,1,SEATTLE,98134,WA,410,6:50,,420,7:00,,10,0.34,6.0,2.0,5,3,3,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,15-Oct-14,30013601,3,3
781,B03400,300136,30013603,3,6,,4,BUS STOP,FULL-TIME JOB,47.580159,-122.327582,47.610243,-122.332828,SODO BUSWAY / S LANDER ST,1,SEATTLE,98134,WA,  601 UNION ST,1,SEATTLE,98101,WA,425,7:05,,445,7:25,,20,2.83,9.0,8.0,515,3,3,8,1.0,,,,,,,,,,,,,1.0,1.0,3.0,,,,,,157.0,,,,,,7.0,15-Oct-14,30013601,3,3
697,B03425,300141,30014103,3,11,,4,HOME (OFF-CAMPUS),BREMERTON FERRY TERMINAL,47.574217,-122.611342,47.563433,-122.625944, 1608 IRONSIDES AVE,2,BREMERTON,98310,WA,  211 1ST ST,2,BREMERTON,98337,WA,515,8:35,,520,8:40,,5,1.6,6.0,19.0,5,1,15,3,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,2.0,15-Oct-14,30014102,3,3
696,B03426,300141,30014104,4,11,,4,BREMERTON FERRY TERMINAL,FERRY TO SEATTLE,47.563433,-122.625944,47.602856,-122.338374,  211 1ST ST,2,BREMERTON,98337,WA,  801 ALASKAN WAY,1,SEATTLE,98104,WA,525,8:45,,595,9:55,,70,16.35,72.0,14.0,0,15,15,10,1.0,,,,,,,,,,,,,1.0,1.0,14.0,,,,,,427.0,,,,,,9.0,15-Oct-14,30014102,3,3
