"","mode_char1","King","Kitsap","Pierce","Snohomish"
"1","Bike/Micromobility",148291.395918045,2853.20530149317,16292.6994356045,12755.0289987606
"2","HOV",3222004.11868225,349198.091267996,1695061.89213684,1232788.14377156
"3","SOV",3880170.66671133,423025.457006963,1400041.06145297,1223890.89487153
"4","Transit",453439.181041493,59697.6973250429,132627.262541297,88395.8358272275
"5","Walk",995411.093359553,93639.3218152326,303093.044761756,147904.204067611
