"","home_county","mode_characterization","count","prop","prop_se","est","est_se"
"1","King","Bike/Micromobility",126,0.0112338062754447,0.00275552409169502,9125.24172270094,2171.85428254412
"2","King","Drive HOV2",85,0.058548876755499,0.0164797829723451,47559.3614387305,13812.6139668486
"3","King","Drive HOV3+",30,0.0205534835143439,0.00869681359864183,16695.6328703925,7117.21396730481
"4","King","Drive SOV",874,0.729012833968249,0.0256226471647594,592178.480365343,47654.778518353
"5","King","Transit",298,0.0597578089364153,0.00994390533807786,48541.3792968563,7834.70642541685
"6","King","Walk",421,0.120893190550048,0.0161720134207127,98201.7634405094,12953.3927710408
"7","Kitsap","Bike/Micromobility",6,0.00676282804498107,0.0033260037559984,547.665851996256,253.508399421334
"8","Kitsap","Drive HOV2",8,0.162451811585955,0.0656818597336873,13155.6368443502,5841.27907452429
"9","Kitsap","Drive HOV3+",2,0.0339603569815784,0.0322840573899695,2750.17015318259,2661.9382713762
"10","Kitsap","Drive SOV",69,0.713361000666839,0.0759664452162715,57769.2435195134,12055.5597647228
"11","Kitsap","Transit",7,0.0271986616131068,0.0158690581466419,2202.59602734608,1260.98155250816
"12","Kitsap","Walk",8,0.0562653411075395,0.0338154111910018,4556.46746753959,2781.5795954043
"13","Pierce","Bike/Micromobility",2,0.00825536484414781,0.00757421222607601,1989.30268986356,1824.56262796403
"14","Pierce","Drive HOV2",25,0.073188515278234,0.0298674045125477,17636.3023389963,7445.66712157129
"15","Pierce","Drive HOV3+",3,0.0399153329860858,0.0251606158724124,9618.43368222656,6204.77002473116
"16","Pierce","Drive SOV",176,0.801864480438072,0.0435289176759234,193226.004901807,25896.5412915495
"17","Pierce","Transit",9,0.0288692165807061,0.0136129179021208,6956.64107916007,3267.84850521993
"18","Pierce","Walk",27,0.0479070898727538,0.0189924906508051,11544.2145255353,4587.04298145382
"19","Snohomish","Bike/Micromobility",1,0.00487102491868161,0.00488242840777268,1188.89442843271,1188.89442843269
"20","Snohomish","Drive HOV2",19,0.107852278713671,0.0383180425732952,26324.0232593926,9942.38003100343
"21","Snohomish","Drive HOV3+",8,0.023210377386556,0.0182697718299611,5665.06819763217,4513.00768392321
"22","Snohomish","Drive SOV",208,0.839366357323173,0.0425483136604793,204868.175033988,26284.808485656
"23","Snohomish","Transit",7,0.00859405310895226,0.00593897211396147,2097.59178601238,1439.91900839315
"24","Snohomish","Walk",10,0.0161059085489659,0.00841365682899577,3931.04639339333,2031.55592637474
