"","home_county","dest_jurisdiction","mode_char1","count","prop","prop_se","est","est_se"
"1","King","Algona","SOV",2,1,0,68.5261866756696,48.4545376075434
"2","King","Arlington","SOV",1,1,0,12.7426345557169,12.7426345557215
"3","King","Auburn","Bike/Micromobility",10,0.00270530311015922,0.000915349718350242,1326.66524862351,428.345150588149
"4","King","Auburn","HOV",66,0.452873420766135,0.0531756674374633,222086.548120784,39730.9994183609
"5","King","Auburn","SOV",101,0.485822225727471,0.0514976181414313,238244.454553423,30601.9041800841
"6","King","Auburn","Transit",7,0.00430202954686333,0.00363267364329555,2109.69080578893,1775.55461484852
"7","King","Auburn","Walk",39,0.0542970208493713,0.0168005764485251,26626.9500057639,8219.58751558216
"8","King","Bainbridge Island","HOV",1,0.184758053298137,0.169666589706786,634.972280776526,634.97228077631
"9","King","Bainbridge Island","SOV",4,0.434871985658622,0.242698463803895,1494.55816214889,1300.71719300884
"10","King","Bainbridge Island","Walk",6,0.380369961043241,0.198149660608441,1307.24684196994,646.769064534732
"11","King","Beaux Arts","HOV",4,0.571428571428571,0.187046969573351,8005.57694529168,4002.59177703484
"12","King","Beaux Arts","Walk",3,0.428571428571429,0.187046969573351,6004.18270896876,3466.40294194888
"13","King","Bellevue","Bike/Micromobility",45,0.00931773876691162,0.00804696624752414,7218.61921432801,6275.54290881992
"14","King","Bellevue","HOV",1151,0.368143491503515,0.0309278544302663,285207.360699371,30109.8950828854
"15","King","Bellevue","SOV",1263,0.491287784656701,0.0321329572833709,380609.451585105,37307.9719784138
"16","King","Bellevue","Transit",190,0.0285318145525154,0.00585494621464731,22104.1080782196,4435.56126024984
"17","King","Bellevue","Walk",626,0.102719170520357,0.0133434974163763,79578.3823250343,10076.1648977653
"18","King","Black Diamond","HOV",4,0.0645404685666271,0.0553760527161694,581.778940453922,307.054010212603
"19","King","Black Diamond","SOV",6,0.935459531433373,0.0553760527161694,8432.39392464287,6325.06485596616
"20","King","Bonney Lake","HOV",8,1,0,7720.02657533212,2891.1327821811
"21","King","Bothell","Bike/Micromobility",4,0.0128274961671978,0.00722529453608244,1585.9659830073,857.032867734356
"22","King","Bothell","HOV",56,0.408937971809915,0.0891799992838391,50560.273337599,14432.2959755853
"23","King","Bothell","SOV",86,0.541508874061014,0.0895660930129838,66951.0746729744,16999.1758376797
"24","King","Bothell","Transit",11,0.0156627487180627,0.00921478851024917,1936.51094051858,1101.45926092445
"25","King","Bothell","Walk",21,0.0210629092438106,0.00725254075623866,2604.17599260535,779.480406413571
"26","King","Bremerton","HOV",2,0.333348761373597,0.210487825238276,120.003058554998,85.4950799755453
"27","King","Bremerton","SOV",2,0.0525341445129682,0.0432252211253965,18.9118987397738,13.3725128038076
