"","commute_mode1","King County","Kitsap County","Pierce County","Region","Snohomish County"
"1","Bicycle",14820,682,1358,18231,1371
"2","Car, truck, or van:!!Carpooled:",93026,11023,44413,188849,40387
"3","Car, truck, or van:!!Drove alone",650801,87478,325812,1347808,283717
"4","Other means",11278,1320,3814,19827,3415
"5","Public transportation (excluding taxicab):",112694,8385,13092,150011,15840
"6","Walked",55967,6983,9782,80193,7461
