"","home_county","dest_county","mode_characterization","count","prop","prop_se","est","est_se"
"1","King","Chelan","Drive SOV",10,0.973682988218278,0.0277675447497337,11322.543022308,4725.73316300325
"2","King","Chelan","Transit",1,0.0263170117817224,0.0277675447497337,306.029274129969,306.029274130305
"3","King","Clallam","Drive SOV",1,1,0,6243.94838875158,6243.94838874393
"4","King","Clark","Drive HOV2",2,0.507452367834984,0.250005768916951,112.291432562311,79.4007328592645
"5","King","Clark","Drive SOV",2,0.492547632165016,0.250005768916951,108.993242965751,77.1038788330416
"6","King","Cowlitz","Drive HOV2",7,0.636363636363636,0.145043109348213,60.4032819824162,22.8280508421697
"7","King","Cowlitz","Drive SOV",4,0.363636363636364,0.145043109348213,34.5161611328093,17.257232510413
"8","King","Douglas","Drive SOV",1,1,0,187.980403876493,187.98040387665
"9","King","Grant","Drive SOV",2,1,0,541.175238259706,382.662412817889
"10","King","Grays Harbor","Drive HOV2",8,1,0,2462.47085007112,870.515091020231
"11","King","Island","Drive HOV3+",2,0.763467580497622,0.199621265611817,285.440806196678,203.359688060451
"12","King","Island","Drive SOV",2,0.236532419502378,0.199621265611817,88.433361466905,74.740885028226
"13","King","Jefferson","Drive SOV",2,1,0,162.40482537277,122.749332951398
"14","King","King","Bike/Micromobility",829,0.0180318743325102,0.00231227558206409,145665.444954993,18767.5374574578
"15","King","King","Drive HOV2",3293,0.191153684149001,0.00846827491394699,1544181.48346058,76887.3404828811
"16","King","King","Drive HOV3+",1796,0.17223301470883,0.00793395298902898,1391336.15623468,70635.7784662366
"17","King","King","Drive SOV",7748,0.448649014625171,0.010158485936374,3624285.37038817,112166.652431071
"18","King","King","Transit",1605,0.0514641067857014,0.00372416592108171,415738.368397717,30398.9199476546
"19","King","King","Walk",5545,0.118468305398786,0.00480379674817769,957013.014884731,38082.421833125
"20","King","Kitsap","Drive HOV2",10,0.544014698629198,0.141475362296918,4165.36408213721,1566.42810526454
"21","King","Kitsap","Drive SOV",15,0.214146712807633,0.142146743525333,1639.65978875997,1302.0365156278
"22","King","Kitsap","Transit",1,0.00138939171204373,0.00144211641968129,10.6381727331061,10.6381727331021
"23","King","Kitsap","Walk",9,0.240449196851124,0.0972442677303174,1841.05034416557,738.218152081829
"24","King","Kittitas","Drive HOV2",6,1,0,366.240335624226,224.738650112334
"25","King","Klickitat","Drive SOV",1,1,0,74.0680819710455,74.0680819711162
"26","King","Lewis","Drive HOV2",2,1,0,147.216618146654,104.096163911874
"27","King","Mason","Drive HOV3+",6,0.998954572269459,0.000852709769452349,29571.7494011571,12071.6273827106
"28","King","Mason","Walk",2,0.00104542773054122,0.000852709769452358,30.9474802185962,21.8828146852762
"29","King","Pierce","Bike/Micromobility",1,0.000867971968587483,0.000876434275900571,186.364560715116,186.364560715136
"30","King","Pierce","Drive HOV2",67,0.513715850358425,0.0727564853654135,110301.29111225,23432.037388002
"31","King","Pierce","Drive HOV3+",5,0.0085019815249272,0.00625268375709788,1825.48297576893,1327.12383586109
"32","King","Pierce","Drive SOV",108,0.44797911735294,0.0723509864853518,96186.7830258293,20623.9312288311
"33","King","Pierce","Transit",7,0.00899114861570564,0.00684238837516962,1930.51333767977,1454.98087374988
"34","King","Pierce","Walk",12,0.0199439301794141,0.00819443543468945,4282.21408217612,1678.36453354139
"35","King","San Juan","Drive SOV",1,0.299388074424241,0.296643019901579,10.1238234999643,10.1238234999722
"36","King","San Juan","Transit",1,0.700611925575759,0.296643019901579,23.6912291517942,23.691229151791
"37","King","Skagit","Drive HOV2",2,0.0377551344614714,0.0320238359029671,72.7665742020967,59.6224500994066
"38","King","Skagit","Drive HOV3+",1,0.00782584367653608,0.00814461132436158,15.0829772613788,15.0829772613649
"39","King","Skagit","Drive SOV",9,0.929834504808894,0.0433719077355594,1792.09721948926,600.550789668147
"40","King","Skagit","Transit",1,0.0245845170530991,0.0251869077052378,47.3824583035885,47.3824583035821
"41","King","Snohomish","Drive HOV2",87,0.124847074844169,0.0255201222482616,19073.7549028377,3423.06530211573
"42","King","Snohomish","Drive HOV3+",43,0.113516059329841,0.0517742212013437,17342.6369492108,8607.41974884334
"43","King","Snohomish","Drive SOV",270,0.673392094919694,0.0609408701538225,102878.788213808,16931.1275101427
"44","King","Snohomish","Transit",13,0.0659440744539178,0.0373181842683103,10074.7343499915,5948.40228992808
"45","King","Snohomish","Walk",22,0.0223006964523786,0.0104010624697142,3407.03231394228,1558.45898172734
"46","King","Spokane","Drive SOV",24,0.508726101611437,0.255401019124188,505.470876243845,106.323759867912
"47","King","Spokane","Transit",1,0.491273898388563,0.255401019124188,488.130345794339,488.130345794076
"48","King","Thurston","Drive HOV2",12,0.764997980390177,0.129498853559763,40200.7911160038,19478.1109040162
"49","King","Thurston","Drive HOV3+",4,0.047209009857756,0.0365921219001853,2480.84255479608,1744.27055670315
"50","King","Thurston","Drive SOV",27,0.182858879231817,0.119823568296353,9609.26930023465,6341.90311295742
"51","King","Thurston","Transit",1,0.004666381218787,0.00499061721597473,245.219231230415,245.21923123037
"52","King","Thurston","Walk",2,0.000267749301462741,0.00021633806502582,14.0702773281436,9.94902554803451
"53","King","Whatcom","Drive HOV2",1,0.518014970255754,0.311162419276389,1825.99414180682,1825.99414180571
"54","King","Whatcom","Drive HOV3+",2,0.0297382549247823,0.0312702545281912,104.826853272986,91.0020373357872
"55","King","Whatcom","Drive SOV",2,0.401328023002671,0.29814443765477,1414.67459634223,1253.89284853987
"56","King","Whatcom","Walk",2,0.0509187518167921,0.0468326945187116,179.487752023215,126.914927744028
"57","King",NA,"Bike/Micromobility",7,0.0180960049051204,0.0117396068692072,2439.58640233757,1573.17817503331
"58","King",NA,"Drive HOV2",53,0.16732188413536,0.0577532168065898,22557.2547913393,8704.23594214497
"59","King",NA,"Drive HOV3+",51,0.248599497592073,0.0690532976862571,33514.5772303568,11293.5840834645
"60","King",NA,"Drive SOV",74,0.171231817651859,0.0458100008672025,23084.3667528418,6460.86076188237
"61","King",NA,"Transit",18,0.182284917659753,0.0618394290688721,24574.4742447614,9503.03536609542
"62","King",NA,"Walk",90,0.212465878055835,0.0417110048100046,28643.2762249674,5134.2838975644
"63","Kitsap","Clallam","Drive SOV",1,1,0,162.81214146642,162.812141466371
"64","Kitsap","Douglas","Drive HOV3+",5,1,1.05199567098414e-16,313.342940490781,148.454594085208
"65","Kitsap","Jefferson","Drive HOV2",2,1,0,145.753453986716,108.636786797339
"66","Kitsap","King","Bike/Micromobility",2,0.00211301724325283,0.00160030705152098,115.061729279416,82.3896351500501
"67","Kitsap","King","Drive HOV2",13,0.595704889143128,0.118080439979127,32438.3697785139,11414.791915359
"68","Kitsap","King","Drive HOV3+",10,0.0179951240017252,0.00718513372145956,979.902124721227,309.863593037533
