"","survey","delivery_work_all","count","count_moe","share","share_moe","sample_size"
"1","2017","Delivery Received",78818.460614208,32727.223008124,0.052611772538057,0.0211934338266215,177
"2","2019","Delivery Received",76792.4532461736,27800.3403947508,0.0497781619629726,0.0175744170916366,230
"3","2021","Delivery Received",93021.0781,21926.7230797536,0.0557954287857084,0.0129859335027149,114
