"","survey","delivery_pkgs_all","count","count_moe","share","share_moe","sample_size"
"1","2017","Delivery Received",371952.184243107,62440.2475831236,0.217597400376028,0.0326484310536482,1342
"2","2019","Delivery Received",532880.517798497,71572.5592032433,0.268922650269645,0.0303992650651201,1901
"3","2021","Delivery Received",773488.194083211,56049.1879923943,0.385127993749817,0.0234846076954499,1003
