"","survey","delivery_food_all","count","count_moe","share","share_moe","sample_size"
"1","2017_2019","Delivery Received",20496.7585887448,7879.14585188757,0.0134811257814368,0.00517673842785772,248
"2","2021","Delivery Received",64887.9847,19072.453098493,0.0389207801428071,0.0113154926413068,77
