hhid,personid,pernum,person_should_take_diary,person_diary_status,proxy,resptype,age,relationship,gender,employment,jobs_count,worker,student,school,education,smartphone,license,vehicle,tollfreq,school_freq,trips_yesno,numtrips,loc_start,loc_end,no_travel,noneed_dayoff,noneed_telecommute,noneed_workhomenoapay,noneed_kidsvacation,noneed_other,unable_notransport,unable_sick,unable_visitor,unable_other,added_trip_flag,added_loop,added_quick,added_stop,added_dropoff,added_parking,added_other,typical,purchase,telecommute,telecommute_hours,transit_freq,bike_freq,walk_freq,transitpay_orca,transitpay_cash,transitpay_tickets,transitpay_upass,transitpay_permit,transitpay_flex,transitpay_access,transitpay_school,transitpay_govt,transitpay_other,transitpay_dontknow,transitpay_other_specify,transit_subsidy,hours_work,commute_freq,telecommute_freq,commute_dur,selfemp_dur,drive_living,night_shift,choose_work,choose_weather,benefits_flextime,benefits_compressed,benefits_parking,benefits_transit,benefits_commute,prev_work_wa,prev_work_loc_city,prev_work_loc_st,prev_work_loc_zip,prev_work_loc_x,smartphone_type,smartphone_type6_r,smartphone_dr,smartphone_dr14_r,smartphone_ip,smartphone_ip9_r,website_use,phonenumber_use,apps_use,alerts_use,socialmedia_use,radio_use,tv_use,gps_use,web_bing,web_google,web_mapquest,web_traffic,web_wsdot,web_county,web_city,web_transit,web_other,web_other_specify,apps_seattletraffic,apps_waze,apps_wsdot,apps_onebusaway,apps_inrix,apps_carshare,apps_taxi,apps_other,apps_other_specify,info_travelroutes,info_traveltime,info_congestion,info_arrivaltime,info_transitoptions,info_parking,info_carshare,info_other,info_other_specify,impact_sametrip,impact_earlier,impact_later,impact_diffroute,impact_smallchange,impact_diffmode,impact_postpone,impact_order,wbt_transitsafety,wbt_transitfreq,wbt_reliability,wbt_bikesafety,wbt_walksafety,wbt_other,wbt_other_specify,wbt_none,wbt_na,carpool_gascost,carpool_parkingcost,carpool_tolls,carpool_hov,transit_avail,carpool_other,carpool_other_specify,carpool_none,carpool_na,expwt_2,dataset
14100001,1410000101,1,1,1,1,1,8,0,2,1,1,1,1,,7,2,1,1,6,,1,4,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,5,,1,1,3,-99,3,1,3,1,1,,,,,-99,4,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,45.2837,pilot
14100002,1410000201,1,1,1,3,1,10,0,1,3,1,1,1,,7,2,1,1,5,,1,12,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,2,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1,-99,5,7,1,1,1,-99,,,,,,,,,,-99,1,,15,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,54.7516,pilot
14100002,1410000202,2,1,1,1,2,10,1,2,5,,0,1,,6,2,1,1,5,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,1,,15,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,54.7516,pilot
14100003,1410000301,1,1,1,1,1,7,0,1,1,1,1,1,,6,1,1,1,5,,1,3,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,5,,1,1,1,-99,3,1,1,3,1,,,,,-99,2,,,,3,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,50.7435,pilot
14100004,1410000401,1,1,1,1,1,9,0,2,1,1,1,1,,7,3,1,1,5,,1,5,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,10,-99,,,1,2,3,-99,3,1,1,1,3,,,,,-99,,,,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,27.5083,pilot
14100005,1410000501,1,1,1,1,1,5,0,2,7,,0,1,,6,1,1,1,6,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,,-99,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,-99,,,,,,-99,,,,,,,,,,-99,2,,,,1,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,72.3736,pilot
14100006,1410000601,1,1,1,1,1,6,0,1,1,1,1,1,,7,1,2,,3,,1,3,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,5,-99,1,,1,1,2,-99,2,1,2,3,1,3,,,,-99,1,,6,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,76.5247,pilot
14100006,1410000602,2,1,1,2,2,6,6,1,1,1,1,1,,7,1,2,,2,,1,2,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,-99,1,,1,1,2,-99,1,1,2,3,2,3,,,,-99,1,,2,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,76.5247,pilot
14100007,1410000701,1,1,1,1,1,6,0,1,1,1,1,1,,6,1,1,1,4,,1,3,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,3,2,-99,3,,1,1,2,-99,2,1,2,3,2,1,,,,-99,1,,2,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,90.275,pilot
14100008,1410000801,1,1,1,1,1,8,0,1,2,2,1,1,,2,2,2,,6,,1,9,1,1,,,,,-99,,,,,,-99,-99,-99,-99,-99,-99,-99,1,2,1,-99,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,4,-99,6,,1,1,1,-99,1,1,1,1,1,,,,,-99,1,,15,,,,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,138.1502,pilot
