hhid,traveldate,dayofweek,hhnumtrips,vehicle_count,hhsize,numadults,numchildren,numworkers,lifecycle,hh_income_detailed,hh_income_followup,hh_income_broad,hh_income_detailed_imp,hh_income_samp_est,sample_segname,h_city,h_zip,address_use_flag,h_segname,h_segname_wgt,h_county_name,h_district_name,h_rgc_name,h_school_district_name,h_uv_name,h_uv_group,h_tract,h_bg,h_puma12,res_months,res_dur,rent_own,res_type,res_factors_hhchange,res_factors_afford,res_factors_school,res_factors_walk,res_factors_space,res_factors_closefam,res_factors_transit,res_factors_hwy,res_factors_30min,prev_rent_own,prev_res_type,prev_home_wa,prev_home_loc_city,prev_home_loc_st,prev_home_loc_zip,prev_home_loc_x,cityofseattle,expwt_2,dataset
14100033,3/4/2014,Tuesday,10,0,1,1,0,0,5,2,,1,2,,OS_LI,SEATTLE,98104,reported,OS_LI,UVOS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,First Hill,11,53033008300,530330083001,11603,1,5,2,5,5,5,3,5,3,5,5,1,1,,,,,,,-99,0,84.5064,pilot
14100034,3/4/2014,Tuesday,0,0,1,1,0,0,5,3,,2,3,3,OS_MI,SEATTLE,98101,reported,OS_MI,UVOS_MI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,First Hill,11,53033008400,530330084002,11603,1,5,2,5,5,5,1,5,5,5,5,1,1,,,,,,,-99,0,42.3493,pilot
14100035,3/4/2014,Tuesday,5,1,2,2,0,1,6,9,,5,9,2,OS_LI,SEATTLE,98122,reported,OS_LI,UVOS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Pike/Pine,10,53033008400,530330084001,11603,1,2,2,5,1,4,1,4,3,4,5,3,5,2,5,1,,,,-99,0,29.5238,pilot
14100036,3/4/2014,Tuesday,4,1,2,2,0,0,8,7,,5,7,2,OS_MI,SEATTLE,98104,reported,OS_MI,UVOS_MI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,First Hill,11,53033008500,530330085001,11603,1,4,2,5,3,2,3,1,2,2,2,2,3,1,1,1,,,,-99,0,18.0008,pilot
14100037,3/4/2014,Tuesday,3,1,1,1,0,1,3,3,,2,3,,OS_LI,SEATTLE,98122,reported,OS_LI,UVOS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Pike/Pine,10,53033008400,530330084003,11603,3,1,2,5,3,3,4,3,2,1,2,2,2,2,1,2,Bellevue,WA,98004,-99,0,98.0633,pilot
14100038,3/4/2014,Tuesday,4,0,1,1,0,1,3,3,,2,3,,OS_LI,SEATTLE,98122,reported,OS_LI,UVOS_LI,King,Seattle CBD,Seattle First Hill/Capitol Hill,Seattle School District,Capitol Hill,9,53033007402,530330074023,11603,1,1,2,5,3,2,3,5,1,4,5,1,4,2,2,1,,,,-99,0,92.0371,pilot
14100039,3/4/2014,Tuesday,5,3,3,3,0,2,7,7,,5,7,5,REG_MI,EVERETT,98201,reported,REG_MI,REG_MI,Snohomish,Everett-Lynwood-Edmonds,,Everett School District,,,53061040400,530610404002,11703,1,7,1,1,2,3,1,2,3,3,2,2,1,,,,,,,-99,0,282.9875,pilot
14100040,3/4/2014,Tuesday,6,1,1,1,0,0,5,2,,1,2,5,OS_MI,EVERETT,98201,reported,OS_MI,OS_MI,Snohomish,Everett-Lynwood-Edmonds,,Everett School District,,,53061040800,530610408001,11703,1,3,1,1,2,5,4,5,5,2,3,4,5,2,1,1,,,,-99,0,113.0068,pilot
14100041,3/4/2014,Tuesday,17,0,3,3,0,0,6,1,,1,1,,REG_LI,EVERETT,98203,reported,REG_LI,REG_LI,Snohomish,Everett-Lynwood-Edmonds,,Everett School District,,,53061041202,530610412021,11703,1,4,4,5,4,5,3,5,3,5,5,3,5,4,5,1,,,,-99,0,584.213,pilot
14100042,3/4/2014,Tuesday,13,2,3,2,1,2,2,6,,4,6,6,REG_MI,LYNNWOOD,98087,reported,REG_MI,REG_MI,Snohomish,Suburban Snohomish,,Edmonds School District,,,53061041703,530610417033,11702,1,6,1,1,3,5,2,2,4,4,1,2,4,,,,,,,-99,0,314.2496,pilot
