"","survey","NoVehicles","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Has Vehicles","Walk",1278995.8872965,85650.2464170396,0.096660605163532,0.00628936488243947,11310
"2","2017/2019","No Vehicles","Walk",257728.645036944,36377.0646754531,0.437038754542186,0.0460296344830708,4312
"3","2021","Has Vehicles","Walk",1751180.55668782,107174.299365528,0.133244903997209,0.0079007077683836,1522
"4","2021","No Vehicles","Walk",340312.464437707,44269.2029280746,0.460237844112123,0.0456571076992582,333
