"","survey","simple_purpose","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Shop and Errands",6690939.06415876,229079.933036909,0.484095138302765,0.0117400927518639,25409
"2","2017/2019","Social/Recreation/Meal",3323091.23019714,156483.076341493,0.240428479956161,0.00997777584025824,18609
"3","2017/2019","Work/School",3807507.11586714,158420.090284013,0.275476381741075,0.0101049525649727,21171
"4","2021","Shop and Errands",6941708.10709801,203763.212477896,0.500051082002531,0.0116717947535915,5214
"5","2021","Social/Recreation/Meal",4099075.88910509,162399.59270245,0.295279965958463,0.0106142372618616,3167
"6","2021","Work/School",2841213.97748165,135883.389972234,0.204668952039005,0.00925947448748778,2218
