"","survey","hhincome_100_f","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Prefer not to answer","Walk",38967.9763914488,11409.6655743256,0.065431408809419,0.0193037066776287,774
"2","2017/2019","$100,000 or more","Walk",680884.48791676,62134.7289485383,0.110431896517625,0.00977116318265185,7227
"3","2017/2019","$75,000-$99,999","Walk",204974.024117759,33360.8841822694,0.11572516357722,0.0179792240000561,1997
"4","2017/2019","$50,000-$74,999","Walk",206651.425822121,26959.5385510854,0.101054823576879,0.012983477295596,2191
"5","2017/2019","$25,000-$49,999","Walk",186279.856514433,30110.8820820914,0.0954028293791337,0.0152422397414388,2133
"6","2017/2019","Under $25,000","Walk",218966.761570927,44343.2878849454,0.169529641362945,0.0309618885808309,1300
"7","2021","Prefer not to answer","Walk",215194.002031087,43920.7348313907,0.180740033214335,0.033297650636442,143
"8","2021","$100,000 or more","Walk",1048487.45521836,82884.5843573423,0.154448825088814,0.0116530958870223,873
"9","2021","$75,000-$99,999","Walk",314489.7154516,47690.1674504744,0.171680892744221,0.0238224316911416,231
"10","2021","$50,000-$74,999","Walk",190354.320865966,35058.3437195216,0.120075494075022,0.0208556321067537,207
"11","2021","$25,000-$49,999","Walk",166541.313106141,29947.0262477724,0.104058891703154,0.0180376278776008,228
"12","2021","Under $25,000","Walk",156426.214452371,26817.43402142,0.176707395367073,0.0281486711468218,173
