"","survey","final_home_is_rgc","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Not RGC","Walk",1210935.03795899,90241.7799617211,0.0964873090989448,0.00693257314164436,7802
"2","2017/2019","RGC","Walk",325789.494374463,22826.8010277044,0.256257325380643,0.0168367382750038,7820
"3","2021","Not RGC","Walk",1667869.15745161,105372.419985768,0.132942055460687,0.0081161750545109,1434
"4","2021","RGC","Walk",423623.863673919,48981.8943084698,0.317045171303644,0.0318113529408546,421
