"","survey","mode_acc_walk","count","count_moe","share","share_moe","sample_size","year"
"1","2017_2019","Other Access Mode",76864.6788854048,19849.3114890961,0.142814828762865,0.0345003012032863,334,"2017/2019"
"2","2017_2019","Walked or jogged",461347.491035924,49535.0595345244,0.857185171237134,0.0345003012032863,4144,"2017/2019"
"3","2021","Other Access Mode",95813.7232351926,26434.5054824057,0.246473120937452,0.0604748029710689,78,"2021"
"4","2021","Walked or jogged",292925.311961702,36395.1096926507,0.753526879062548,0.0604748029710689,297,"2021"
