"","survey","mode_simple","count","count_moe","share","share_moe","sample_size","year"
"1","2017_2019","Bike",109769.081954995,29031.0533777375,0.00794188654250607,0.00209258986234408,1089,"2017/2019"
"2","2017_2019","Transit",720563.696088148,58929.8356779029,0.0521333969371009,0.00422820369269903,7955,"2017/2019"
"3","2017_2019","Walk",1536724.53233345,92907.957796962,0.111183328360911,0.00650611226817567,15622,"2017/2019"
"4","2021","Bike",137993.811876736,30670.1894637251,0.00994048638663705,0.00220516613143886,132,"2021"
"5","2021","Transit",448310.308632832,54167.4300150243,0.0322943649381499,0.003880663234853,437,"2021"
"6","2021","Walk",2091493.02112553,114637.521953919,0.150662247976858,0.00800403697614352,1855,"2021"
