"","survey","race_eth_broad","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Asian","Walk",152677.977829359,25761.0362719191,0.155124215457773,0.0251611504602204,2064
"2","2017/2019","Black","Walk",39874.8797532955,11553.3110019838,0.0857428031158623,0.0252517021220677,216
"3","2017/2019","Hispanic","Walk",71467.3415407367,18960.5761837796,0.0966370666349798,0.0246103934989131,706
"4","2017/2019","Other","Walk",109886.401574476,20503.5030208477,0.101754106762958,0.0191658166874554,873
"5","2017/2019","White","Walk",978211.223375753,69678.5092390986,0.108376682604365,0.00746998707822287,11139
"6","2021","Asian","Walk",329343.876575916,45513.5715779918,0.204498690049194,0.0258296114759401,324
"7","2021","Black","Walk",78669.7579735622,25913.538881853,0.123112049969874,0.0378466868505113,38
"8","2021","Hispanic","Walk",113771.004632377,28806.2785399343,0.114955596348001,0.0276133356764292,83
"9","2021","Other","Walk",95671.2821570319,24908.6231982137,0.143397215230339,0.0346835020488232,90
"10","2021","White","Walk",1393938.14119078,94312.4882362968,0.150382180884747,0.00974541210743794,1251
