"","survey","simple_purpose","mode_simple","count","count_moe","share","share_moe","sample_size"
"1","2017/2019","Shop and Errands","Walk",416537.934865029,43551.3057159097,0.0622540320380873,0.00647585165682429,4443
"2","2017/2019","Social/Recreation/Meal","Walk",829867.131896754,72277.9537430586,0.249727459889063,0.0194670460962035,7250
"3","2017/2019","Work/School","Walk",290319.465571666,39620.8305490581,0.0762492246860968,0.010113453866909,3929
"4","2021","Shop and Errands","Walk",674198.5708407,67593.0076552463,0.0971228637734452,0.0094272632350466,603
"5","2021","Social/Recreation/Meal","Walk",1325192.31997843,92145.6653838996,0.323290506404297,0.019461897462028,1157
"6","2021","Work/School","Walk",92102.1303063992,25147.8299031841,0.0324164709298084,0.00872842470970599,95
