"","numchildren","deliver_package","count","prop","prop_moe","est","est_moe"
"1","0 children","Yes",4185,0.286331431482449,0.0181133177377427,1333172.80003259,99015.9069671175
"2","1 child","Yes",546,0.3655482659827,0.0515352405687175,268557.558105566,45903.9195879413
"3","2 children","Yes",426,0.39453278984393,0.0506495706687144,308259.146479496,48132.0957295796
"4","3 children","Yes",81,0.333142398155018,0.0946327361033901,101430.744661758,35130.4274495011
"5","4 children","Yes",20,0.453728392600626,0.186889750942057,39483.8631334157,21069.97467441
"6","5 children","Yes",9,0.236115824688137,0.202778723417128,4998.18112840037,3037.42904298264
"7","6 children","Yes",1,0.481535111924834,0.560769009896824,3640.70995780547,5988.96788058817
