"","hhincome2","survey_year","deliver_package","count","prop","prop_se","est","est_se"
"1","$100,000+","2017","Yes",597,0.296557903124834,0.0394780107031102,167004.390204167,26429.0347665924
"2","$100,000+","2019","Yes",862,0.424228114722105,0.0391332811168706,270058.043541592,34431.2401612733
"3","$100,000+","2021","Yes",329,0.464307785588403,0.0274936294490284,342248.2545,27786.4300267906
"4","$100,000+","2023","Yes",969,0.402388612461137,0.0265194470033485,298010.231472724,24744.8315462796
"5","Under $100,000","2017","Yes",538,0.1903084730602,0.026200705272165,175823.030876613,26821.1200452311
"6","Under $100,000","2019","Yes",662,0.208856308310817,0.0233526648392152,185925.984873135,22757.8771617033
"7","Under $100,000","2021","Yes",311,0.333695410991538,0.0233672797688859,293871.4537,25365.5167178313
"8","Under $100,000","2023","Yes",675,0.250862766090836,0.0228351686072877,186798.488431242,19784.6177491261
