"","wkr_grp","deliver_package","count","prop","prop_moe","est","est_moe"
"1","0 workers","Yes",885,0.232513196347304,0.0312369792136335,305883.000677428,46400.6826476768
"2","1 worker","Yes",2228,0.29397004291056,0.0242009113303298,760089.10158887,74420.204887833
"3","2 workers","Yes",2012,0.359289296235687,0.0293932375816498,790628.753451947,78003.4651528101
"4","3+ workers","Yes",143,0.413682236358206,0.0747887247957856,202942.147780786,47631.4111032853
