"","class_desc","deliver_package","count","prop","prop_moe","est","est_moe","home_loc"
"1","CitiesTowns","Yes",141,0.289080202376831,0.0593184187560221,129353.184402865,29387.9903815719,"Cities and Towns"
"2","Core","Yes",706,0.289465908924921,0.0350337708162597,414080.570835775,59205.2179172706,"Core"
"3","HCT","Yes",561,0.300273760317905,0.0363689018614974,443631.680503636,62723.5901022956,"High Capacity Transit"
"4","Metro","Yes",3454,0.32722360484987,0.0239355609871894,781474.298076973,70520.0103794804,"Metro"
"5","UU","Yes",77,0.300815640167911,0.092527696037088,53806.9794293406,19250.3532649669,"Urban Unincorporated"
"6","Outside Urban Growth Area","Yes",329,0.354125977591986,0.0583277823850708,237196.290250443,49402.2473657265,"Outside Urban Growth Area"
