"","survey_year","deliver_package","count","prop","prop_moe","est","est_moe","Year"
"1","2017","Yes",1193,0.226169681369316,0.0353997181062195,350308.791400582,61999.1105460054,"2017"
"2","2019","Yes",1604,0.301679037050022,0.036507901127605,483608.088738222,71165.0431571101,"2019"
"3","2021","Yes",681,0.385721445453366,0.0283192453413522,674737.3603,63314.4859571189,"2021"
"4","2023","Yes",1790,0.325768388280533,0.027418990292418,550888.763060227,56224.3468139922,"2023"
