"","hhsize_simple","deliver_package","count","prop","prop_moe","est","est_moe"
"1","1 person","Yes",1658,0.206515022189519,0.0234356841576386,386203.196320098,49330.9946887396
"2","2 people","Yes",2331,0.315987549841867,0.0265166052835487,697541.453901416,69216.455482218
"3","3 people","Yes",661,0.391170470570526,0.0483866064452643,369993.797899178,59113.8530815695
"4","4+ people","Yes",618,0.386156802782276,0.038713584236472,605804.555378339,73182.482381138
