"","year","geography","variable","metric","estimate","share","moe"
"154","2012","King County","Carpooled","Commute Mode",108421,0.104743963172818,6052
"155","2012","King County","Drove Alone","Commute Mode",665828,0.64324682037088,10775
"156","2012","Kitsap County","Transit","Commute Mode",10352,0.0902025025269248,1562
"157","2012","Kitsap County","Work from Home","Commute Mode",8442,0.073559652852811,1778
"158","2012","Kitsap County","Walk, Bike & Other","Commute Mode",8068,0.0703007911888746,1898.55418674316
"159","2012","Kitsap County","Carpooled","Commute Mode",9313,0.0811491408455613,1907
"160","2012","Kitsap County","Drove Alone","Commute Mode",78589,0.684787912585828,3635
"161","2012","Pierce County","Transit","Commute Mode",11216,0.030229198559693,1689
"162","2012","Pierce County","Work from Home","Commute Mode",15888,0.0428211043791371,1768
"163","2012","Pierce County","Walk, Bike & Other","Commute Mode",15538,0.0418777895168072,2120.69988447211
"164","2012","Pierce County","Carpooled","Commute Mode",38254,0.103101619267341,3526
"165","2012","Pierce County","Drove Alone","Commute Mode",290136,0.781970288277022,6449
"166","2012","Region","Transit","Commute Mode",159445,0.0850041023962366,7515.09620696901
"167","2012","Region","Work from Home","Commute Mode",104813,0.0558784219289206,5406.87839700506
"168","2012","Region","Walk, Bike & Other","Commute Mode",112455,0.0599525625448825,6147.55764511403
"169","2012","Region","Carpooled","Commute Mode",194338,0.103606430126249,8058.47566230736
"170","2012","Region","Drove Alone","Commute Mode",1304682,0.695558483003711,14566.9807098108
"171","2012","Snohomish County","Transit","Commute Mode",18949,0.0534027370699373,2441
"172","2012","Snohomish County","Work from Home","Commute Mode",17237,0.0485779185642783,2101
"173","2012","Snohomish County","Walk, Bike & Other","Commute Mode",10167,0.0286529963475673,1718.27500709287
"174","2012","Snohomish County","Carpooled","Commute Mode",38350,0.108079316408892,3499
"175","2012","Snohomish County","Drove Alone","Commute Mode",270129,0.761287031609325,6426
"176","2013","King County","Transit","Commute Mode",133585,0.127972387048813,6706
"177","2013","King County","Work from Home","Commute Mode",61447,0.0588652862745699,3909
"178","2013","King County","Walk, Bike & Other","Commute Mode",78021,0.0747429248039484,5686.99472480853
"179","2013","King County","Carpooled","Commute Mode",103877,0.0995125773812147,7017
"180","2013","King County","Drove Alone","Commute Mode",666928,0.638906824491454,9945
"181","2013","Kitsap County","Transit","Commute Mode",11041,0.0906813627254509,1574
"182","2013","Kitsap County","Work from Home","Commute Mode",6631,0.0544613817799533,1554
"183","2013","Kitsap County","Walk, Bike & Other","Commute Mode",10329,0.0848336016294885,1802.38480907935
"184","2013","Kitsap County","Carpooled","Commute Mode",10003,0.0821561155097079,1799
"185","2013","Kitsap County","Drove Alone","Commute Mode",83752,0.687867538355399,3474
"186","2013","Pierce County","Transit","Commute Mode",11069,0.0298893965414817,1697
"187","2013","Pierce County","Work from Home","Commute Mode",14399,0.0388813281055917,1779
"188","2013","Pierce County","Walk, Bike & Other","Commute Mode",14370,0.0388030199928713,2150.00093023236
"189","2013","Pierce County","Carpooled","Commute Mode",33638,0.0908320101962563,3185
"190","2013","Pierce County","Drove Alone","Commute Mode",296856,0.801594245163799,6394
"191","2013","Region","Transit","Commute Mode",176746,0.0929765967217841,7639.32438112167
"192","2013","Region","Work from Home","Commute Mode",102404,0.0538692553760627,5279.89005567351
"193","2013","Region","Walk, Bike & Other","Commute Mode",112751,0.0593122574597325,6575.82641194246
"194","2013","Region","Carpooled","Commute Mode",185785,0.0977315301164193,8492.2104896193
"195","2013","Region","Drove Alone","Commute Mode",1323287,0.696110360326001,14229.4821409635
"196","2013","Snohomish County","Transit","Commute Mode",21051,0.0576697066244415,2834
"197","2013","Snohomish County","Work from Home","Commute Mode",19927,0.0545904823478811,2649
"198","2013","Snohomish County","Walk, Bike & Other","Commute Mode",10031,0.0274801590019368,1740.25544102008
"199","2013","Snohomish County","Carpooled","Commute Mode",38267,0.104833341095316,3082
"200","2013","Snohomish County","Drove Alone","Commute Mode",275751,0.755426310930424,7115
"201","2014","King County","Transit","Commute Mode",144055,0.132587384525044,6440
"202","2014","King County","Work from Home","Commute Mode",69729,0.0641781662250308,4825
"203","2014","King County","Walk, Bike & Other","Commute Mode",82632,0.076054012412436,5609.31519884558
"204","2014","King County","Carpooled","Commute Mode",97847,0.0900578099588492,4213
"205","2014","King County","Drove Alone","Commute Mode",692228,0.63712262687864,9207
"206","2014","Kitsap County","Transit","Commute Mode",10665,0.0900288700173895,1406
"207","2014","Kitsap County","Work from Home","Commute Mode",7836,0.0661477942293731,1494
"208","2014","Kitsap County","Walk, Bike & Other","Commute Mode",9055,0.076438013877868,1754.5238670363
"209","2014","Kitsap County","Carpooled","Commute Mode",9844,0.0830983775387888,1662
"210","2014","Kitsap County","Drove Alone","Commute Mode",81062,0.684286944336581,2831
"211","2014","Pierce County","Transit","Commute Mode",12723,0.0333894066117481,1812
"212","2014","Pierce County","Work from Home","Commute Mode",16210,0.0425404606756611,1929
"213","2014","Pierce County","Walk, Bike & Other","Commute Mode",13972,0.0366672002813287,2003.14527680845
"214","2014","Pierce County","Carpooled","Commute Mode",36682,0.0962658345777052,3868
"215","2014","Pierce County","Drove Alone","Commute Mode",301462,0.791137097853557,5740
"216","2014","Region","Transit","Commute Mode",186613,0.0951857037564109,7304.03751359479
"217","2014","Region","Work from Home","Commute Mode",113016,0.0576460776887706,5703.96274532013
"218","2014","Region","Walk, Bike & Other","Commute Mode",118706,0.0605483763194875,6522.46663464061
"219","2014","Region","Carpooled","Commute Mode",190304,0.097068372340941,7128.5290207728
"220","2014","Region","Drove Alone","Commute Mode",1351876,0.68955146989439,12783.998200876
"221","2014","Snohomish County","Transit","Commute Mode",19170,0.0511864741677859,2572
"222","2014","Snohomish County","Work from Home","Commute Mode",19241,0.0513760537017407,1817
