"","survey_year","deliver_work","count","prop","prop_moe","est","est_moe","Year"
"1","2017","Yes",204,0.0619824965601989,0.023011212396413,96003.2013421747,37044.506896058,"2017"
"2","2019","Yes",269,0.0505792030019705,0.016971202555241,81081.2442683237,27903.5168692282,"2019"
"3","2021","Yes",122,0.0586593649236308,0.0131144013918739,102612.0417,23553.3320063438,"2021"
"4","2023","Yes",196,0.0446137500569457,0.0130142626119365,75443.8259466247,22575.8805430342,"2023"
