"","child_grp","deliver_grocery","count","prop","prop_moe","est","est_moe"
"1","0 children","Yes",350,0.0252847901692755,0.00579805168699714,117727.188851343,27247.8088270944
"2","1 child","Yes",53,0.0336851885131619,0.0151337585259973,24747.517122263,11161.9140698861
"3","2 children","Yes",46,0.0326808197151898,0.0163038463825811,25534.4089286973,12869.9270435184
"4","3+ children","Yes",10,0.0430455093610743,0.0339009237650042,18088.4347149892,14544.3404360793
