"","home_county","deliver_package","count","prop","prop_moe","est","est_moe"
"1","King","Yes",3961,0.327089973216224,0.0223111839053884,1186544.06311227,98710.153086582
"2","Kitsap","Yes",293,0.33566170595721,0.059012247985071,136867.422968862,29561.0370205992
"3","Pierce","Yes",506,0.283915556015374,0.0346623054415655,384562.561030986,53901.6878567083
"4","Snohomish","Yes",508,0.292380951080118,0.0357236474955047,351568.956386915,49671.6984994793
