"","wkr_grp","deliver_grocery","count","prop","prop_moe","est","est_moe"
"1","0 workers","Yes",62,0.0289398727772842,0.0127413479537408,38071.8826432379,17008.7965441672
"2","1 worker","Yes",195,0.0183061393600635,0.00585943586627566,47332.3638081882,15214.5329901955
"3","2 workers","Yes",188,0.0395588226580015,0.0111882603143296,87050.5828417602,24998.0491172709
"4","3+ workers","Yes",14,0.0278096546991406,0.0201738436238759,13642.7203241057,9956.13040074773
