"","hhincome","deliver_package","count","prop","prop_moe","est","est_moe"
"1","$100,000+","Yes",2757,0.402368635564373,0.0271660195839226,1077320.91971848,93356.1747777895
"2","$50,000-$100,000","Yes",1300,0.300490005325934,0.0298261798239415,537589.827575519,62714.9734695148
"3","Prefer not to answer","Yes",325,0.294051293342726,0.0585190972923785,139803.125899556,34299.0642410667
"4","Under $50,000","Yes",886,0.184707709108183,0.0260553370214293,304829.130305472,46752.513747276
