"","wkr_grp","deliver_food","count","prop","prop_moe","est","est_moe"
"1","0 workers","Yes",83,0.0172890042249281,0.0081262540581398,22744.5692292942,10736.413151385
"2","1 worker","Yes",287,0.02666285047222,0.00683120752132927,68939.4805694334,17746.7757544412
"3","2 workers","Yes",215,0.0308740699283494,0.00919514998742347,67939.4785126765,20406.6785082612
"4","3+ workers","Yes",12,0.0247879372824764,0.01834016875145,12160.3414143344,9030.43104659765
