"","numchildren","deliver_grocery","count","prop","prop_moe","est","est_moe"
"1","0 children","Yes",350,0.0252847901692755,0.00579805168699714,117727.188851343,27247.8088270944
"2","1 child","Yes",53,0.0336851885131619,0.0151337585259973,24747.517122263,11161.9140698861
"3","2 children","Yes",46,0.0326808197151898,0.0163038463825811,25534.4089286973,12869.9270435184
"4","3 children","Yes",6,0.0467253886665365,0.0450698177600539,14226.3218170492,14093.0686458803
"5","4 children","Yes",2,0.0255884096140441,0.0349491100453444,2226.72700117313,2999.81019680579
"6","5 children","Yes",2,0.0772562017619478,0.103330322316778,1635.38589676687,1985.47072090159
