"","hhincome_broad","deliver_package","count","prop","prop_moe","est","est_moe"
"1","$100,000-$199,000","Yes",807,0.442100221248754,0.0400524793038794,411590.125227132,50059.4557983219
"2","$200,000 or more","Yes",491,0.418247472836392,0.0509792725472904,228668.360745592,35183.4016859183
"3","$25,000-$49,999","Yes",583,0.217963232225834,0.0373536080256556,202031.624541042,38306.7367141639
"4","$50,000-$74,999","Yes",659,0.301993518936072,0.0421874016240424,281860.124740378,46674.3199844219
"5","$75,000-$99,999","Yes",641,0.298850111881809,0.042080648280956,255729.702835141,42147.9924148214
"6","Under $25,000","Yes",303,0.142098247641749,0.034886846033983,102797.50576443,26919.6247981021
