"survey","RGCs","mode","count","count_moe","share","share_moe","sample_size"
"2017/2019","outside of RGCs","Bicycle",93768.0585869468,35945.6985045728,0.00828905663769731,0.00312453036071823,1052
"2017/2019","outside of RGCs","HOV",3989596.35566837,459677.544150997,0.352678628212645,0.026067935786343,11505
"2017/2019","outside of RGCs","Other",84387.0561386318,27487.0448786024,0.00745977999719524,0.00244469248674232,407
"2017/2019","outside of RGCs","Ridehail/Taxi",33024.3523402317,17430.0779549586,0.00291933875028247,0.00153424689261394,398
"2017/2019","outside of RGCs","SOV",5694436.94350051,474814.739215767,0.50338581235201,0.0241884335222606,18491
"2017/2019","outside of RGCs","Transit",366778.039314049,59855.121641458,0.0324230232553093,0.0055172435127511,3253
"2017/2019","outside of RGCs","Walk",1050280.62477612,141264.340468493,0.0928443620946609,0.0120219803718192,6628
"2017/2019","outside of RGCs","Total",11312271.4303249,814000.205185447,0.818455215259299,0.0132557749166571,41734
"2017/2019","RGC with HCT","Bicycle",13938.2640437415,10322.5167966706,0.0134277599404415,0.00996821747348721,129
"2017/2019","RGC with HCT","HOV",276103.963680077,71920.3712085324,0.26599135431554,0.0545690594727593,1259
"2017/2019","RGC with HCT","Other",1222.83358337834,1061.76062322845,0.00117804596721641,0.00103456734467848,24
"2017/2019","RGC with HCT","Ridehail/Taxi",8995.03881377651,5930.11042736209,0.00866558568848168,0.00575863858735533,101
"2017/2019","RGC with HCT","SOV",493231.84029658,79182.0942479528,0.475166685198511,0.0541765026032481,2356
"2017/2019","RGC with HCT","Transit",84604.4108270181,35614.3655923954,0.0815056820180958,0.0319976378005375,801
"2017/2019","RGC with HCT","Walk",159922.212894709,42789.9534929544,0.154064887123689,0.0360738037371755,1857
"2017/2019","RGC with HCT","Total",1038018.56413928,136412.31149863,0.0751017789286516,0.00903520097201105,6527
"2017/2019","RGC with light rail","Bicycle",17178.0844400653,6638.06803978991,0.0154772737189084,0.00607843393339431,597
"2017/2019","RGC with light rail","HOV",202116.366267743,39849.7754368363,0.182104724032101,0.0308974924533458,1715
"2017/2019","RGC with light rail","Other",6206.46869170753,3654.38280731136,0.00559196312630417,0.0032965091190841,84
"2017/2019","RGC with light rail","Ridehail/Taxi",13320.6397506328,6179.2453044851,0.0120017565550438,0.00557906445108433,338
"2017/2019","RGC with light rail","SOV",348419.071656403,54790.5499417411,0.313921925330432,0.0358941251489982,2607
"2017/2019","RGC with light rail","Transit",201729.760815908,36416.3086198489,0.181756396430128,0.0295259026598758,3551
"2017/2019","RGC with light rail","Walk",320920.45556722,46441.8620585144,0.289145960956273,0.0321051252910164,7110
"2017/2019","RGC with light rail","Total",1109890.84718968,105417.111587408,0.0803018172114125,0.00779406310612159,16002
"2017/2019","RGC with neither","Bicycle",567.196380988313,659.073989854967,0.00156983220633246,0.0018538760762367,3
"2017/2019","RGC with neither","HOV",125315.771501986,44565.4544687746,0.346837067032019,0.096329603428716,328
"2017/2019","RGC with neither","Other",1169.50895734075,1563.32917533323,0.00323685559900217,0.00435207027912131,3
"2017/2019","RGC with neither","Ridehail/Taxi",610.23071065873,1003.82951903361,0.00168893850537257,0.002769423943946,1
"2017/2019","RGC with neither","SOV",225803.926855197,57219.5281529008,0.624958620735776,0.0966434787785354,542
"2017/2019","RGC with neither","Transit",2242.33066738975,2172.9162060893,0.00620610943637695,0.00603362522186388,16
"2017/2019","RGC with neither","Walk",5601.23909540186,5415.48282795245,0.0155025765430956,0.0150125576607657,27
"2017/2019","RGC with neither","Total",361310.204168962,74137.0687210926,0.0261411886004915,0.00516181226252151,920
"2017/2019","Total","Total",13821491.0458228,904486.734634771,0.999999999998177,0,65183
"2021","outside of RGCs","Bicycle",120694.800005665,36953.7566812483,0.0104312894594772,0.00318157584115015,114
"2021","outside of RGCs","HOV",3685475.93656533,365294.727994379,0.31852462816171,0.0238982611269541,2566
"2021","outside of RGCs","Other",86240.4047773336,35426.7133072093,0.00745349945305004,0.00305329274955921,65
"2021","outside of RGCs","Ridehail/Taxi",40780.7325791448,23764.2495700404,0.00352455636768845,0.00205720715143345,27
"2021","outside of RGCs","SOV",5748723.78708517,379439.968113228,0.496844949763954,0.0243746611791029,4212
"2021","outside of RGCs","Transit",229781.611431614,55450.7694341581,0.0198593352985536,0.00478638694092905,243
"2021","outside of RGCs","Walk",1658761.05628853,180075.729207356,0.143361741529056,0.015054108772695,1419
"2021","outside of RGCs","Total",11570458.3287328,570042.299578062,0.833486530574355,0.0131675034144753,8646
"2021","RGC with HCT","Bicycle",7223.74350544781,7345.16678679315,0.00870992744779971,0.00888154188733223,8
"2021","RGC with HCT","HOV",271805.301244783,72215.4232649781,0.32772543099264,0.068215803940762,192
"2021","RGC with HCT","Other",783.411654490044,917.760571788197,0.00094458762081681,0.00111255406470211,2
"2021","RGC with HCT","Ridehail/Taxi",10257.4010673063,13727.7467492254,0.0123677175175272,0.0164617404135836,4
"2021","RGC with HCT","SOV",417223.312665413,77714.6071924414,0.503061159343714,0.0688594151205361,314
"2021","RGC with HCT","Transit",44388.2465804108,28992.8620141097,0.0535205059460075,0.0338771335946507,31
"2021","RGC with HCT","Walk",77687.5475045429,27650.0049579709,0.0936706711961688,0.0319870273469934,92
"2021","RGC with HCT","Total",829368.964222393,115730.08502111,0.0597442072672399,0.00785189673576711,643
"2021","RGC with light rail","Bicycle",18199.9329072001,12927.5503889136,0.0171422750830774,0.0121871464528809,16
"2021","RGC with light rail","HOV",207026.321600778,59312.4968548066,0.194995340939689,0.0498744361963196,172
"2021","RGC with light rail","Other",3319.52523680135,2216.62482430389,0.00312661670467974,0.00212223245252014,10
"2021","RGC with light rail","Ridehail/Taxi",1741.61672100892,1417.61345300516,0.00164040564321922,0.00134927623259991,5
"2021","RGC with light rail","SOV",354417.293722607,64320.829367567,0.333820938714617,0.0521251884701596,286
"2021","RGC with light rail","Transit",135382.956205793,44627.5112849535,0.127515407194116,0.0386124753735222,130
"2021","RGC with light rail","Walk",341611.1646342,86947.17410259,0.321759015914665,0.0608827129159699,330
"2021","RGC with light rail","Total",1061698.81102839,140479.043480946,0.0764802619512155,0.00995115211748208,949
"2021","RGC with neither","HOV",140079.978575289,42572.1035784573,0.333149465325605,0.0831787463791872,121
"2021","RGC with neither","Ridehail/Taxi",410.631589854875,675.488965311271,0.000976597058335148,0.00161426076287521,1
"2021","RGC with neither","SOV",262831.427329293,61164.9056088071,0.625086828082191,0.0871300031394727,221
"2021","RGC with neither","Transit",3716.57950848339,4024.02266639049,0.00883906814369212,0.00960780550737263,4
"2021","RGC with neither","Walk",13433.2526982501,9478.25123618813,0.0319480413940608,0.0221291648866102,14
"2021","RGC with neither","Total",420471.86970117,75428.4294995606,0.0302890023826726,0.0052413860066067,361
"2021","Total","Total",13881997.9736847,629808.776791985,0.999999999997614,0,10599
