survey,RGCs,mode,count,count_moe,share,share_moe,sample_size
2017/2019,outside of RGCs,Bicycle,93768.05859,35945.6985,0.008289057,0.00312453,1052
2017/2019,outside of RGCs,HOV,3989596.356,459677.5442,0.352678628,0.026067936,11505
2017/2019,outside of RGCs,Other,84387.05614,27487.04488,0.00745978,0.002444692,407
2017/2019,outside of RGCs,Ridehail/Taxi,33024.35234,17430.07795,0.002919339,0.001534247,398
2017/2019,outside of RGCs,SOV,5694436.944,474814.7392,0.503385812,0.024188434,18491
2017/2019,outside of RGCs,Transit,366778.0393,59855.12164,0.032423023,0.005517244,3253
2017/2019,outside of RGCs,Walk,1050280.625,141264.3405,0.092844362,0.01202198,6628
2017/2019,outside of RGCs,Total,11312271.43,814000.2052,0.818455215,0.013255775,41734
2017/2019,RGC with HCT,Bicycle,14213.2114,10332.914,0.01432789,0.010443818,136
2017/2019,RGC with HCT,HOV,272215.3179,70832.70602,0.274411675,0.056218036,1359
2017/2019,RGC with HCT,Other,897.7747006,989.0378046,0.000905018,0.001004114,13
2017/2019,RGC with HCT,Ridehail/Taxi,9730.912109,6164.640515,0.009809426,0.006264013,110
2017/2019,RGC with HCT,SOV,450682.1754,75103.82961,0.454318485,0.05486196,2520
2017/2019,RGC with HCT,Transit,83589.689,35403.80439,0.08426413,0.033166484,878
2017/2019,RGC with HCT,Walk,160667.0428,42755.86261,0.161963378,0.037365365,1925
2017/2019,RGC with HCT,Total,991996.1232,132522.017,0.071772005,0.008829592,6941
2017/2019,RGC with light rail,Bicycle,16776.4557,6619.989887,0.016191788,0.006481982,585
2017/2019,RGC with light rail,HOV,176791.769,35130.95348,0.170630481,0.029784704,1535
2017/2019,RGC with light rail,Other,6149.116029,3644.093421,0.005934816,0.003518207,83
2017/2019,RGC with light rail,Ridehail/Taxi,12584.76645,5945.577935,0.012146181,0.005752252,329
2017/2019,RGC with light rail,SOV,308177.102,49330.43149,0.297436965,0.035394534,2274
2017/2019,RGC with light rail,Transit,199299.8285,36384.18843,0.192354123,0.031116596,3461
2017/2019,RGC with light rail,Walk,316329.9135,46369.52571,0.305305647,0.033072029,7017
2017/2019,RGC with light rail,Total,1036108.951,99459.25756,0.074963616,0.007399972,15284
2017/2019,RGC with neither,Bicycle,693.8777605,676.6840839,0.00144223,0.00143568,8
2017/2019,RGC with neither,HOV,154529.0146,49781.42053,0.321189657,0.084543879,408
2017/2019,RGC with neither,Other,1551.920503,1634.920915,0.003225678,0.003438362,15
2017/2019,RGC with neither,Ridehail/Taxi,610.2307107,1003.829519,0.001268369,0.002084258,1
2017/2019,RGC with neither,SOV,308595.5615,75102.2547,0.641418072,0.085906606,711
2017/2019,RGC with neither,Transit,5686.984762,4639.236913,0.011820438,0.009752867,29
2017/2019,RGC with neither,Walk,9446.951211,6302.169658,0.019635555,0.013267889,52
2017/2019,RGC with neither,Total,481114.541,92570.20567,0.034809163,0.006420535,1224
2017/2019,Total,Total,13821491.05,904486.7346,1,0,65183
2021,outside of RGCs,Bicycle,120694.8,36953.75668,0.010431289,0.003181576,114
2021,outside of RGCs,HOV,3685475.937,365294.728,0.318524628,0.023898261,2566
2021,outside of RGCs,Other,86240.40478,35426.71331,0.007453499,0.003053293,65
2021,outside of RGCs,Ridehail/Taxi,40780.73258,23764.24957,0.003524556,0.002057207,27
2021,outside of RGCs,SOV,5748723.787,379439.9681,0.49684495,0.024374661,4212
2021,outside of RGCs,Transit,229781.6114,55450.76943,0.019859335,0.004786387,243
2021,outside of RGCs,Walk,1658761.056,180075.7292,0.143361742,0.015054109,1419
2021,outside of RGCs,Total,11570458.33,570042.2996,0.833486531,0.013167503,8646
2021,RGC with HCT,Bicycle,7223.743505,7345.166787,0.009503772,0.009682319,8
2021,RGC with HCT,HOV,246654.2537,69847.8101,0.324505668,0.069830754,161
2021,RGC with HCT,Ridehail/Taxi,10605.76747,13739.70275,0.013953263,0.017957956,5
2021,RGC with HCT,SOV,373390.3504,60302.88123,0.491243445,0.066803381,288
2021,RGC with HCT,Transit,44088.97343,29193.66296,0.058004764,0.037006159,28
2021,RGC with HCT,Walk,78129.19243,27773.79144,0.102789088,0.034523634,86
2021,RGC with HCT,Total,760092.2809,102565.2686,0.05475381,0.007186505,576
2021,RGC with light rail,Bicycle,18199.93291,12927.55039,0.018215161,0.012950522,16
2021,RGC with light rail,HOV,196441.2565,58671.40668,0.196605619,0.052069299,166
2021,RGC with light rail,Other,3319.525237,2216.624824,0.003322303,0.00225812,10
2021,RGC with light rail,Ridehail/Taxi,1393.25032,1297.438507,0.001394416,0.001309236,4
2021,RGC with light rail,SOV,309744.9468,56429.34185,0.31000411,0.050100051,255
2021,RGC with light rail,Transit,131124.0032,44408.8804,0.131233715,0.040567724,126
2021,RGC with light rail,Walk,338941.0846,86966.0203,0.339224677,0.063136847,323
2021,RGC with light rail,Total,999163.9996,137519.7288,0.071975518,0.009732064,900
2021,RGC with neither,HOV,175816.0912,47318.55925,0.318343992,0.082824159,158
2021,RGC with neither,Other,783.4116545,917.7605718,0.001418496,0.001682761,2
2021,RGC with neither,Ridehail/Taxi,410.6315899,675.4889653,0.000743516,0.001231476,1
2021,RGC with neither,SOV,351336.7365,101058.395,0.636153031,0.088564335,278
2021,RGC with neither,Transit,8274.805677,5562.958347,0.014982899,0.010386486,11
2021,RGC with neither,Walk,15661.6878,9610.063704,0.028358065,0.017610887,27
2021,RGC with neither,Total,552283.3645,111895.0247,0.039784141,0.007702066,477
2021,Total,Total,13881997.97,629808.7768,1,0,10599
