"","survey_year","was_displaced","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2019","Displaced Mover",362,0.255739567775909,0.034392100281191,185772.245018843,28909.8627245782,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0565750049625591
"2","2021","Displaced Mover",217,0.205923795468717,0.0204883039752592,173311.3471,19164.6705507221,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0337032600393014
"3","2023","Displaced Mover",331,0.203943006639058,0.0240466678486292,148306.115481385,19391.7032644354,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.039556768610995
"4","2019","Not Displaced Mover",943,0.607573876859249,0.036872309037884,441348.846017631,46702.8413073467,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0606549483673192
"5","2021","Not Displaced Mover",545,0.585495444683272,0.0249288735535641,492769.687,31965.3963011353,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.041007996995613
"6","2023","Not Displaced Mover",945,0.610900903775031,0.0292174480202415,444243.426023863,34065.3919695831,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0480627019932973
"7","2019","Moved from Outside WA",435,0.136686555364842,0.0187155428780114,99290.7295294617,12990.9348143754,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0307870680343287
"8","2021","Moved from Outside WA",202,0.208580759848011,0.0203985298210095,175547.5242,19042.4094932447,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0335555815555606
"9","2023","Moved from Outside WA",359,0.185156089585911,0.0229973505314983,134644.383530192,18305.5974397019,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0378306416243147
