"","survey_year","res_dur","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2017","Less than a year",622,0.120809297133398,0.0166937118130683,187118.62090679,27288.8551430641,"res_dur",1,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3090,0.0274611559324973
"2","2019","Less than a year",529,0.105120270229232,0.014851073024987,168513.574792321,24701.7906210506,"res_dur",1,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3090,0.0244300151261037
"3","2021","Less than a year",270,0.137678666444192,0.0121012721281283,240839.4479,22682.2274322964,"res_dur",1,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3090,0.019906592650771
"4","2023","Less than a year",451,0.102243982366684,0.0115305480501479,160149.760062948,18796.4934724995,"res_dur",1,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3090,0.0189677515424933
"5","2017","Between 1 and 2 years",484,0.114672630666948,0.0169104521050409,177613.685496899,27727.0294997719,"res_dur",2,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3091,0.0278176937127923
"6","2019","Between 1 and 2 years",433,0.136511440066419,0.0199410915636799,218835.346555674,34771.9299820261,"res_dur",2,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3091,0.0328030956222534
"7","2021","Between 1 and 2 years",237,0.114272550813495,0.0110229381748032,199895.4432,20359.5391376711,"res_dur",2,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3091,0.0181327332975512
"8","2023","Between 1 and 2 years",438,0.100479622327237,0.0119232378552029,157386.156470428,19543.554424881,"res_dur",2,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3091,0.0196137262718087
"9","2017","Between 2 and 3 years",365,0.0785191463941787,0.0134069522372011,121616.42139043,21433.6176289345,"res_dur",3,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3092,0.0220544364301958
"10","2019","Between 2 and 3 years",330,0.0936818468456638,0.017012660292912,150177.152995176,28848.700585946,"res_dur",3,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3092,0.0279858261818403
"11","2021","Between 2 and 3 years",197,0.0842018468166845,0.00948361530727955,147293.1633,17229.0576593767,"res_dur",3,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3092,0.0156005471804749
"12","2023","Between 2 and 3 years",348,0.111967892249444,0.0133829541175228,175380.796634008,22283.146616207,"res_dur",3,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3092,0.022014959523325
"13","2017","Between 3 and 5 years",503,0.165496617464145,0.0208100583126073,256333.738871396,35531.603669613,"res_dur",4,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3093,0.0342325459242391
"14","2019","Between 3 and 5 years",448,0.117828612382461,0.0146000930880936,188885.746222765,24025.9298379598,"res_dur",4,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3093,0.024017153129914
"15","2021","Between 3 and 5 years",260,0.144973672257481,0.0127190911017304,253600.5039,24077.3524470089,"res_dur",4,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3093,0.0209229048623465
"16","2023","Between 3 and 5 years",398,0.14956897287725,0.015302087256243,234277.211868055,26124.9581363788,"res_dur",4,"res_dur_5","Less than 5 years",NA,NA,NA,NA,3093,0.0251719335365197
"17","2017","Between 5 and 10 years",458,0.159030965469257,0.0201218701150203,246319.245672161,34076.1898907587,"res_dur",5,"res_dur_5","More than 5 years",NA,NA,NA,NA,3094,0.0331004763392084
"18","2019","Between 5 and 10 years",480,0.159702056009309,0.019714968657781,256011.179396002,34360.1595598071,"res_dur",5,"res_dur_5","More than 5 years",NA,NA,NA,NA,3094,0.0324311234420497
"19","2021","Between 5 and 10 years",290,0.158545325378202,0.0128842757280581,277341.215,24454.8378585912,"res_dur",5,"res_dur_5","More than 5 years",NA,NA,NA,NA,3094,0.0211946335726556
"20","2023","Between 5 and 10 years",536,0.18102602282119,0.0162723474599756,283549.930752797,28253.6940034226,"res_dur",5,"res_dur_5","More than 5 years",NA,NA,NA,NA,3094,0.0267680115716599
"21","2017","Between 10 and 20 years",504,0.212699381146607,0.023105556416982,329444.966672832,40889.4253559611,"res_dur",6,"res_dur_5","More than 5 years",NA,NA,NA,NA,3095,0.0380086403059354
"22","2019","Between 10 and 20 years",455,0.185456623936758,0.021468622673853,297297.16828494,38271.8158832188,"res_dur",6,"res_dur_5","More than 5 years",NA,NA,NA,NA,3095,0.0353158842984882
"23","2021","Between 10 and 20 years",318,0.173795891480188,0.0133135109496956,304018.8261,25462.5472717684,"res_dur",6,"res_dur_5","More than 5 years",NA,NA,NA,NA,3095,0.0219007255122492
"24","2023","Between 10 and 20 years",532,0.16144329314375,0.0148515770437472,252876.541604356,25179.0435892356,"res_dur",6,"res_dur_5","More than 5 years",NA,NA,NA,NA,3095,0.0244308442369641
"25","2017","More than 20 years",339,0.148771961725466,0.0177735722399564,230429.320989493,29242.4489675698,"res_dur",7,"res_dur_5","More than 5 years",NA,NA,NA,NA,3096,0.0292375263347282
"26","2019","More than 20 years",369,0.201699150530157,0.0221815882594937,323334.831753121,39980.4618959596,"res_dur",7,"res_dur_5","More than 5 years",NA,NA,NA,NA,3096,0.0364887126868672
"27","2021","More than 20 years",357,0.186532046809757,0.0136408697834481,326298.0121,26252.3906041683,"res_dur",7,"res_dur_5","More than 5 years",NA,NA,NA,NA,3096,0.0224392307937721
"28","2023","More than 20 years",641,0.193270214214445,0.0160553847312178,302728.607760526,27756.0148785056,"res_dur",7,"res_dur_5","More than 5 years",NA,NA,NA,NA,3096,0.0264111078828533
