"","survey_year","prev_home_rgc_cat","was_displaced","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2019","Not RGC","Displaced Mover",257,0.107387490838026,0.0173654457928891,165980.860851988,28405.6334159748,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0285661583293025
"2","2019","RGC","Displaced Mover",105,0.344621449609761,0.0899767826453003,19791.3841668557,5863.75163931386,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.148011807451519
"3","2021","Not RGC","Displaced Mover",183,0.0911602163849884,0.0105091673322429,150013.0107,18098.6975656838,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0172875802615395
"4","2021","RGC","Displaced Mover",34,0.224693825906524,0.0571536706979222,23298.3364,6682.35572852379,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0940177882980819
"5","2023","Not RGC","Displaced Mover",331,0.0877754137271055,0.0110482403254499,148306.115481385,19473.1566262841,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.018174355335365
"6","2019","Not RGC","Not Displaced Mover",700,0.261195771296056,0.02520774878448,403710.885060244,45953.0054909349,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0414667467504696
"7","2019","RGC","Not Displaced Mover",243,0.655378550390239,0.0899767826453003,37637.9609573868,10011.7469625918,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.148011807451519
"8","2021","Not RGC","Not Displaced Mover",452,0.250595179600739,0.0158505215797862,412378.764,29997.9692179194,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0260741079987482
"9","2021","RGC","Not Displaced Mover",93,0.775306174093476,0.0571536706979222,80390.923,12762.7926189171,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.094017788298082
"10","2023","Not RGC","Not Displaced Mover",945,0.262926787531467,0.0175524965789237,444243.426023863,34484.4858652859,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0288738568723295
"11","2017","Not RGC","Not Mover",1301,0.563093433918061,0.0278583097150647,806193.533334487,60438.3343240508,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0458269194812814
"12","2019","Not RGC","Not Mover",1304,0.567176907725779,0.0274357997528619,876643.179434063,64818.8503983158,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0451318905934578
"13","2021","Not RGC","Not Mover",965,0.551567521691566,0.0180760323700084,907658.0532,43475.4160671642,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0297350732486638
"14","2023","Not RGC","Not Mover",1709,0.496656419726514,0.0197470191603599,839155.080117679,46516.8462371619,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0324838465187921
"15","2017","Not RGC","No Response",1007,0.345242942942791,0.0270514471177016,494292.08593888,48223.797571788,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0.0444996305086192
"16","2017","RGC","No Response",420,1,0,117153.509959743,21484.9931011745,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0
"17","2017","Not RGC","Moved from Outside WA",547,0.0916636231391474,0.0141986307623053,131236.870766892,20922.8831360804,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0233567476039922
"18","2019","Not RGC","Moved from Outside WA",435,0.0642398301401403,0.00866724941794502,99290.7295294617,13045.4321730019,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0142576252925196
"19","2021","Not RGC","Moved from Outside WA",202,0.106677082322707,0.0110633313517512,175547.5242,19159.1455709011,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0181991800736308
"20","2023","Not RGC","Moved from Outside WA",665,0.152641379014914,0.0138848437139712,257904.224226209,25244.7043208438,"was_displaced",4,NA,NA,NA,NA,NA,NA,6066,0.0228405679094827
