"","prev_home_rgc_cat","survey_year","was_displaced","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","Not RGC","2019","Displaced Mover",257,0.291352054936669,0.0425249508837528,170000,28304.1750765517,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0699535442037733
"2","Not RGC","2021","Displaced Mover",183,0.266741117933352,0.027674395446637,150000,17966.4028981732,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0455243805097179
"3","Not RGC","2023","Displaced Mover",331,0.25028475273923,0.0287279751291112,150000,19353.378848616,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.047257519087388
"4","RGC","2019","Displaced Mover",105,0.344621449609761,0.0899864613382019,20000,5857.19277547659,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.148027728901342
"5","RGC","2021","Displaced Mover",34,0.224693825906524,0.0571598186486559,20000,6674.33140401166,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.094027901677039
"6","Not RGC","2019","Not Displaced Mover",700,0.708647945063331,0.0425249508837528,4e+05,45574.8560088896,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0699535442037733
"7","Not RGC","2021","Not Displaced Mover",452,0.733258882066648,0.027674395446637,410000,29385.1035602425,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0455243805097179
"8","Not RGC","2023","Not Displaced Mover",945,0.74971524726077,0.0287279751291112,440000,33867.0260975557,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.047257519087388
"9","RGC","2019","Not Displaced Mover",243,0.655378550390239,0.0899864613382019,40000,9997.59266042909,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.148027728901342
"10","RGC","2021","Not Displaced Mover",93,0.775306174093476,0.0571598186486559,80000,12709.5820707661,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.094027901677039
