"","survey_year","was_displaced","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2019","Displaced Mover",362,0.115886382575048,0.0170711177071442,185772.245018843,28995.022926461,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0280819886282522
"2","2021","Displaced Mover",217,0.0990754436469315,0.0104962881737464,173311.3471,19277.6860533056,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0172663940458129
"3","2023","Displaced Mover",333,0.0891348205643822,0.0110834356777096,150602.981298756,19539.9544683464,"was_displaced",0,NA,NA,NA,NA,NA,NA,6062,0.0182322516898323
"4","2019","Not Displaced Mover",943,0.275317344705972,0.0247106456669221,441348.846017631,47003.8231408876,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0406490121220869
"5","2021","Not Displaced Mover",545,0.28169751243763,0.0158681727475825,492769.687,32514.518993676,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0261031441697732
"6","2023","Not Displaced Mover",950,0.266120339810205,0.0176668656326081,449639.2802037,34838.7554001057,"was_displaced",1,NA,NA,NA,NA,NA,NA,6063,0.0290619939656404
"7","2017","Not Mover",1301,0.52050230834133,0.0268722466585915,806193.533334487,60438.3343240508,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.044204845753383
"8","2019","Not Mover",1304,0.546857830476224,0.0267949525777763,876643.179434063,64818.8503983158,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.044077696990442
"9","2021","Not Mover",965,0.518873263668148,0.0175634938907218,907658.0532,43475.4160671642,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0288919474502374
"10","2023","Not Mover",1709,0.496656419726514,0.0197470191603599,839155.080117679,46516.8462371619,"was_displaced",2,NA,NA,NA,NA,NA,NA,6064,0.0324838465187921
"11","2017","No Response",1974,0.47949769165867,0.0268722466585915,742682.466665515,56583.4065554263,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0.044204845753383
"12","2019","No Response",435,0.0619384422427563,0.00833724778530395,99290.7295294617,13045.4321730019,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0.013714772606825
"13","2021","No Response",202,0.100353780247291,0.0104403750179541,175547.5242,19159.1455709011,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0.0171744169045345
"14","2023","No Response",658,0.148088419898899,0.0136342351685545,250211.504229001,24698.085320965,"was_displaced",3,NA,NA,NA,NA,NA,NA,6065,0.0224283168522721
