"","survey_year","prev_home_rgc_cat","prev_res_factors_community_change","prev_res_factors_forced","prev_res_factors_income_change","prev_res_factors_housing_cost","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"29","2023","Not RGC","Not Selected","Not Selected","Not Selected","Selected",169,0.144213457662482,0.0238671780217401,74861.9864198107,13178.4120707928,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.0392615078457624
"30","2023","Not RGC","Not Selected","Not Selected","Selected","Not Selected",22,0.386751005868428,0.189387676037847,7627.94876511262,5097.58481421654,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.311542727082258
"31","2023","Not RGC","Not Selected","Not Selected","Selected","Selected",22,0.613248994131572,0.189387676037847,12095.202951027,5278.19804422695,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.311542727082258
"32","2023","Not RGC","Not Selected","Selected","Not Selected","Not Selected",51,0.992085537227565,0.00640286998972305,29985.2032256306,10074.2944813862,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.0105327211330944
"33","2023","Not RGC","Not Selected","Selected","Not Selected","Selected",2,0.00791446277243554,0.00640286998972306,239.209993239456,177.644866976972,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.0105327211330944
"34","2023","Not RGC","Not Selected","Selected","Selected","Not Selected",1,0.0598926202123508,0.0707187881990422,138.79119942567,138.791199425664,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.116332406587424
"35","2023","Not RGC","Not Selected","Selected","Selected","Selected",3,0.940107379787649,0.0707187881990422,2178.54270471114,1654.68434661278,"prev_res_factors_community_change",0,NA,NA,NA,NA,NA,NA,2849,0.116332406587424
"36","2019","Not RGC","Selected","Not Selected","Not Selected","Not Selected",32,0.978129616881333,0.0162193429243037,11537.253829338,5246.30147547239,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.0266808191104796
"37","2019","Not RGC","Selected","Not Selected","Not Selected","Selected",4,0.0218703831186673,0.0162193429243037,257.965976114132,156.380008811913,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.0266808191104796
"38","2019","Not RGC","Selected","Not Selected","Selected","Not Selected",4,0.747141339522053,0.205821826699734,1203.88384177474,670.745231295235,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.338576904921062
"39","2019","Not RGC","Selected","Not Selected","Selected","Selected",2,0.252858660477947,0.205821826699734,407.436236625504,381.318691728342,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.338576904921062
"40","2019","Not RGC","Selected","Selected","Not Selected","Not Selected",2,1,0,4024.65091044172,3909.41343655478,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0
"41","2019","RGC","Selected","Not Selected","Not Selected","Not Selected",4,0.0895009490520083,0.0611435536622911,101.008894868242,50.5151241535517,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.100581145774469
"42","2019","RGC","Selected","Not Selected","Not Selected","Selected",7,0.910499050947992,0.0611435536622911,1027.57014186964,574.216096455114,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.100581145774469
"43","2019","RGC","Selected","Not Selected","Selected","Selected",2,1,0,43.2380023911432,30.5693101637025,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0
"44","2021","Not RGC","Selected","Not Selected","Not Selected","Not Selected",30,0.854760853471262,0.0945671602458436,29804.2101,8586.25281848782,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.155562978604413
"45","2021","Not RGC","Selected","Not Selected","Not Selected","Selected",5,0.145239146528738,0.0945671602458436,5064.268,3569.02806746089,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.155562978604413
"46","2021","Not RGC","Selected","Not Selected","Selected","Selected",2,1,0,2697.5818,2166.41574389266,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0
"47","2021","Not RGC","Selected","Selected","Not Selected","Not Selected",1,1,0,645.1707,645.170700000051,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0
"48","2021","RGC","Selected","Not Selected","Not Selected","Not Selected",4,0.314448930812395,0.229991394810051,1608.5858,888.967838422163,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.378335844462533
"49","2021","RGC","Selected","Not Selected","Not Selected","Selected",4,0.685551069187605,0.229991394810051,3506.9851,3199.35483448717,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.378335844462533
"50","2021","RGC","Selected","Selected","Selected","Selected",1,1,0,102.2024,102.202400000007,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0
"51","2023","Not RGC","Selected","Not Selected","Not Selected","Not Selected",40,0.869223984324084,0.0874276217034772,14283.3574687602,6222.36168855764,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.14381843770222
"52","2023","Not RGC","Selected","Not Selected","Not Selected","Selected",9,0.130776015675916,0.0874276217034772,2148.95195476205,1361.07411683066,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.14381843770222
"53","2023","Not RGC","Selected","Not Selected","Selected","Not Selected",3,0.276800127808756,0.240053442570996,770.235390616161,691.505251394608,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.394887913029289
"54","2023","Not RGC","Selected","Not Selected","Selected","Selected",6,0.723199872191244,0.240053442570996,2012.40563167529,1599.08453807435,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,0.394887913029289
"55","2023","Not RGC","Selected","Selected","Not Selected","Not Selected",3,1,1.0812949571139e-16,1964.27977661407,1913.09833222991,"prev_res_factors_community_change",1,NA,NA,NA,NA,NA,NA,2850,1.77873020445236e-16
