"","survey_year","res_dur_5","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2019","Less than 5 years",1305,1,0,627121.091036474,54335.3162630333,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6087,0
"2","2021","Less than 5 years",762,1,6.05421256872363e-18,666081.0341,36322.3972030109,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6087,9.95917967555036e-18
"3","2023","Less than 5 years",1276,1,0,592549.541505248,38498.0627042362,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6087,0
