"","survey_year","prev_res_factors_forced","res_dur_5","count","prop","prop_se","est","est_se","variable","value","group_1_title","group_1_value","group_2_title","group_2_value","group_3_title","group_3_value","val_order","prop_moe"
"1","2017",NA,"Less than 5 years",1974,0.47949769165867,0.0268722764712219,742682.466665515,56572.6536250771,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.04420489479516
"2","2019","Missing: Skip Logic","Less than 5 years",435,0.10173919424002,0.0138288374564909,99290.7295294617,13044.6082117135,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.0227484376159275
"3","2019","Not Selected","Less than 5 years",1217,1,0,572190.632035687,53387.4759252343,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0
"4","2019","Selected","Less than 5 years",88,1,0,54930.4590007872,13806.5995800231,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0
"5","2021","Missing: Skip Logic","Less than 5 years",202,0.162062980345212,0.0162809996401206,175547.5242,19157.3822728924,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.0267822444079984
"6","2021","Not Selected","Less than 5 years",705,1,6.46369140787328e-18,628840.9337,36610.9659944225,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,1.06327723659515e-17
"7","2021","Selected","Less than 5 years",57,1,2.61880555159469e-17,37240.1004,8784.23339332608,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,4.30793513237326e-17
"8","2023","Missing: Skip Logic","Less than 5 years",352,0.133141698197644,0.0173242350231872,126951.663532984,17612.6762970675,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.028498366613143
"9","2023","Not Selected","Less than 5 years",1223,0.9817226771868,0.0100506746888815,565736.234602834,38453.2343624769,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.0165333598632101
"10","2023","Selected","Less than 5 years",60,0.943504285665514,0.0556752112388715,34506.0268996209,10396.4430141734,"res_dur_5",1,NA,NA,NA,NA,NA,NA,6074,0.0915857224879436
"11","2017",NA,"More than 5 years",1301,0.52050230834133,0.0268722764712219,806193.533334487,60426.4695998072,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.04420489479516
"12","2019","Missing: Skip Logic","More than 5 years",1304,0.89826080575998,0.0138288374564909,876643.179434063,64805.7675008647,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.0227484376159275
"13","2021","Missing: Skip Logic","More than 5 years",965,0.837937019654788,0.0162809996401206,907658.0532,43454.4361091122,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.0267822444079984
"14","2023","Missing: Skip Logic","More than 5 years",1699,0.866858301802356,0.0173242350231872,826556.255109676,46103.3165251813,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.028498366613143
"15","2023","Not Selected","More than 5 years",9,0.0182773228132002,0.0100506746888815,10532.6524763499,5854.49039620853,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.0165333598632101
"16","2023","Selected","More than 5 years",1,0.0564957143344863,0.0556752112388715,2066.17253165312,2066.17253165435,"res_dur_5",2,NA,NA,NA,NA,NA,NA,6075,0.0915857224879436
