"","survey_year","travelers_total","travelers_total_num","weighted_trips","count_trips"
"1","2017","1 traveler",1,6813873.11085598,16907
"2","2017","2 travelers",2,3680423.46361068,10494
"3","2017","3 travelers",3,1783238.64607873,4044
"4","2017","4 travelers",4,572050.042246691,1592
"5","2017","5 travelers",7,570762.176549934,308
"6","2017","6 travelers",7,18186.793341179,137
"7","2017","7 travelers",7,38732.6428614036,93
"8","2017","9 travelers",7,0,1
"9","2019","0 travelers",0,0,1
"10","2019","1 traveler",1,6944833.21298225,19904
"11","2019","2 travelers",2,3826831.95225362,14061
"12","2019","3 travelers",3,1768117.36109765,6330
"13","2019","4 travelers",4,632012.577040453,2759
"14","2019","5 travelers",7,217095.378153101,1031
"15","2019","6 travelers",7,76396.2620683695,531
"16","2019","7 travelers",7,138943.200727607,188
"17","2019","8 travelers",7,1396.06230615874,87
"18","2019","9 travelers",7,0,16
"19","2021","1 traveler",1,6797870.13446901,5048
"20","2021","2 travelers",2,3431486.59553498,2640
"21","2021","3 travelers",3,1195148.91350711,689
"22","2021","4 travelers",4,549941.693837245,354
"23","2021","5 travelers",7,197279.171081258,122
"24","2021","6 travelers",7,39449.7172902465,31
"25","2021","7 travelers",7,26656.0898813136,11
"26","2021","8 travelers",7,6033.110088742,1
"27","2023","1 traveler",1,6927668.92037082,19612
"28","2023","2 travelers",2,3106593.10530707,10521
"29","2023","3 travelers",3,1863350.45319141,4082
"30","2023","4 travelers",4,744919.911149985,1804
"31","2023","5+ travelers",7,784254.801651689,1058
