"","survey_year","total_vmt","total_trips","people","vmt_per_person","trips_per_person"
"1","2017",70903929.3792773,13468811.7728905,3936552.88496601,18.0116796220532,3.42147360050183
"2","2019",73693672.5951653,13474451.4813592,3957735.20611397,18.6201624811388,3.4045864060192
"3","2021",67133208.4386502,12145517.6586742,4214793.3269,15.9279953325794,2.88164014618654
"4","2023",64172745.698605,13387016.9137206,4148631.50775023,15.4684130366173,3.22685128546889
