"","survey_year","prev_home_wa","res_dur5","count","prop","prop_moe","est","est_moe"
"1",2017,"Yes, previous home was in Washington","5 years or less",1427,1,0,611445.595898623,81604.8809259791
"2",2017,"No, previous home was in another state or country","5 years or less",547,1,2.87537081019677e-17,131236.870766892,33989.0867920069
"3",2017,NA,"More than 5 years",1301,1,0,806193.533334487,89761.3391175787
"4",2019,"Yes, previous home was in Washington","5 years or less",1305,1,0,627121.091036474,85210.4418414504
"5",2019,"No, previous home was in another state or country","5 years or less",435,1,0,99290.7295294617,21258.6344478332
"6",2019,NA,"More than 5 years",1304,1,0,876643.179434063,95860.3421354098
"7",2021,"Yes, previous home was in Washington","5 years or less",762,1,9.17617552276112e-18,666081.0341,55052.6907271397
"8",2021,"No, previous home was in another state or country","5 years or less",202,1,1.92896789818646e-17,175547.5242,30500.6770060673
"9",2021,NA,"More than 5 years",965,1,0,907658.0532,59121.319046978
"10",2023,"Yes, previous home was in Washington","5 years or less",1276,0.979180601476965,0.0166938472321329,592549.541505248,62125.3041269271
"11",2023,"Yes, previous home was in Washington","More than 5 years",10,0.020819398523035,0.0166938472321329,12598.825008003,10211.0608964453
"12",2023,"No, previous home was in another state","5 years or less",319,1,0,127623.136691324,29705.8732360976
"13",2023,"No, previous home was in another country","5 years or less",40,0.994313431405885,0.00804119756459574,7021.24683886845,4470.61693391446
"14",2023,"No, previous home was in another country","More than 5 years",2,0.00568656859411494,0.00804119756459573,40.1551467619065,51.0378963326004
"15",2023,NA,"Missing",306,0.129777809080426,0.0282224335039544,123259.840696017,28396.4769172273
"16",2023,NA,"More than 5 years",1697,0.870222190919574,0.0282224335039544,826516.099962914,71142.8803461743
