"","name","year","estimate_total_hh","estimate_no_veh_hh","moe_total_hh","moe_no_veh_hh","share"
"1","King County",2016,861154,87062,4657,4271,0.101099222670974
"2","King County",2017,876639,84713,5665,4400,0.0966338481404546
"3","King County",2018,897476,96512,5960,5356,0.107537137483342
"4","King County",2019,907761,104214,5540,6163,0.114803345814592
"5","King County",2021,924763,94753,5641,5669,0.102461928083195
"6","King County",2022,945040,106739,5381,5504,0.112946541945314
"7","Kitsap County",2016,101995,4984,2068,1009,0.0488651404480612
"8","Kitsap County",2017,104902,5410,1850,1241,0.0515719433375913
"9","Kitsap County",2018,105411,4622,1928,965,0.0438474163038013
"10","Kitsap County",2019,107525,4611,1905,1181,0.0428830504533829
"11","Kitsap County",2021,106399,3765,1838,958,0.0353856709179598
"12","Kitsap County",2022,109245,4921,1987,1186,0.0450455398416404
"13","Pierce County",2016,317671,18339,2982,2141,0.0577295377922442
"14","Pierce County",2017,321268,16908,3552,2038,0.0526289577548962
"15","Pierce County",2018,328519,14267,3174,2037,0.0434282339834226
"16","Pierce County",2019,333657,15384,3333,2156,0.0461072298797867
"17","Pierce County",2021,347668,15890,2988,2108,0.0457045227055697
"18","Pierce County",2022,351652,19643,3374,2234,0.0558592017107822
"19","Region",2016,1566936,124526,6804.00771604501,5302.44207889157,0.0794710185993557
"20","Region",2017,1595239,120531,7318.49226275467,5431.5196768492,0.075556703415601
"21","Region",2018,1631621,129723,7312.07932123278,6124.3518840772,0.0795055959686716
"22","Region",2019,1648770,138673,7481.91272336159,6939.3580394731,0.0841069403252121
"23","Region",2021,1691195,127958,7093.12610912847,6434.25318121692,0.0756612927545316
"24","Region",2022,1720825,145027,7295.29485353402,6378.35182472714,0.0842775994072611
"25","Snohomish County",2016,286116,14141,3382,2067,0.0494240098421619
"26","Snohomish County",2017,292430,13500,2330,2109,0.0461648941627056
"27","Snohomish County",2018,300215,14322,2038,1934,0.0477058108355678
"28","Snohomish County",2019,299827,14464,3248,2032,0.0482411523978828
"29","Snohomish County",2021,312365,13550,2487,1975,0.0433787396155139
"30","Snohomish County",2022,314888,13724,2989,1998,0.0435837504128452
