"","survey_year","has_vehicle","dest_purpose_simpler","count","prop","prop_se","est","est_se"
"1","2017","0","Errands/Shopping",749,0.338135903219982,0.0425327123550124,233686.569660724,37999.595706116
"2","2017","0","Go Home",1210,0.373368335326184,0.0411568897519447,258035.791737702,35852.7583493147
"3","2017","0","Missing",1,8.32314041727889e-06,8.35326291510414e-06,5.75214318975487,5.75214318978981
"4","2017","0","School",111,0.0140500243547786,0.0056044611729993,9710.00702336487,3838.07545650116
"5","2017","0","Social/Recreation",683,0.137308923890329,0.0274957418437464,94894.5412249269,20189.0321779137
"6","2017","0","Work",746,0.137128490068309,0.0247829266228557,94769.8429585872,17728.3839237086
"7","2017","1+","Errands/Shopping",7278,0.313602505714701,0.0094419904446669,4921650.50002091,183498.353075954
"8","2017","1+","Go Home",9827,0.330891533645067,0.00905043230164687,5192983.00345368,169453.055440049
"9","2017","1+","Missing",4,1.33495453226326e-06,6.67993093760879e-07,20.9506605383946,10.4751940658518
"10","2017","1+","School",955,0.0437641046331357,0.00379774989817865,686830.058834389,60744.9325138825
"11","2017","1+","Social/Recreation",5156,0.143514495823613,0.00679557635594851,2252304.03858161,114757.908958802
"12","2017","1+","Work",5631,0.168110935594529,0.00718162544160339,2638318.42906417,122634.883599019
"13","2017","1+",NA,4,0.000115089634421888,5.75827465833499e-05,1806.20673138057,903.091623270878
"14","2019","0","Errands/Shopping",1118,0.368754157574326,0.0352136313058763,205789.138817466,28516.6093062187
"15","2019","0","Go Home",1794,0.325086476706806,0.0281888975518467,181419.693062616,17989.2413829706
"16","2019","0","Missing",3,0.000731294757592272,0.000713213759028143,408.110702741861,397.455463865318
"17","2019","0","School",110,0.0200766632090918,0.00675081468278662,11204.1021023459,3775.29440894168
"18","2019","0","Social/Recreation",1130,0.146535870840362,0.0142087386711933,81776.6797924911,7093.84857182738
"19","2019","0","Work",1166,0.138815536911822,0.0153155974667215,77468.2243136745,8198.32508614914
"20","2019","1+","Errands/Shopping",9310,0.318285484422768,0.00825420433040018,5146936.62283637,162965.422931839
"21","2019","1+","Go Home",11848,0.327849710345757,0.00808467946043969,5301597.97901285,156513.707339951
"22","2019","1+","Missing",18,0.000233350379030257,0.000139804703112181,3773.46649647483,2260.29577005722
"23","2019","1+","School",1030,0.0357098562300257,0.00289390387056261,577457.583904173,47391.3666038854
"24","2019","1+","Social/Recreation",6943,0.17035388563044,0.00663727744507422,2754761.67059244,117881.294520902
"25","2019","1+","Work",6379,0.147567712991979,0.00624927527621066,2386290.62121406,109428.522202733
"26","2021","0","Errands/Shopping",241,0.326173656245686,0.025673515396823,246627.326531715,23472.1781614651
"27","2021","0","Go Home",291,0.379747961791493,0.0263818238817609,287136.078524865,24707.8552520137
"28","2021","0","School",6,0.00541561606833319,0.00267513461517383,4094.87059080319,2021.01489624555
"29","2021","0","Social/Recreation",118,0.186888037201838,0.0228841942361067,141310.299263196,19516.3385966478
"30","2021","0","Work",70,0.10177472869265,0.0172995831758186,76954.1891729365,13861.8306131007
"31","2021","1+","Errands/Shopping",3231,0.314621521830042,0.00655131009084969,4568532.59540504,115809.257679518
"32","2021","1+","Go Home",4114,0.359749340411374,0.00654577155550414,5223821.23856312,115239.026467286
"33","2021","1+","School",190,0.0203197187185841,0.00195263449296612,295057.047449732,28632.0767267655
"34","2021","1+","Social/Recreation",2047,0.188990459476458,0.00544173095509673,2744278.48837749,87444.1830477215
"35","2021","1+","Work",1255,0.116318959563542,0.0045080297395544,1689035.62330585,69606.2719153508
"36","2023","0","Errands/Shopping",662,0.237759889671115,0.0241805905079533,120434.409942148,14457.3521308119
"37","2023","0","Go Home",1252,0.393473594756266,0.0258362212565647,199309.312760183,16884.0292320293
"38","2023","0","School",12,0.0111630608897478,0.00612132062419563,5654.51411196704,3121.30701990611
"39","2023","0","Social/Recreation",817,0.214033780453664,0.018686262253113,108416.234934668,9969.8474081941
"40","2023","0","Work",447,0.143569674229208,0.0190274554297786,72723.4901786791,10470.6704596007
"41","2023","1+","Errands/Shopping",7055,0.295141952847157,0.0073535974538968,4552164.70620952,139298.162206774
"42","2023","1+","Go Home",10154,0.348504376600938,0.00710117410733071,5375207.786688,130643.506336982
"43","2023","1+","School",680,0.0390529173740518,0.00290498976345599,602338.333909237,45634.9821539892
"44","2023","1+","Social/Recreation",5616,0.173133359435394,0.00560927203964969,2670347.47410996,94020.7268597048
"45","2023","1+","Work",3904,0.144167393742459,0.00527429401956456,2223586.70209278,87367.9432711568
