"","survey_year","hh_race_category_2","res_dur","prev_res_factors_forced","count","prop","prop_moe","est","est_moe"
"1",2017,"Missing/No response","Less than a year",NA,24,1,0,6151.21682704799,5692.56013125735
"2",2017,"Missing/No response","Between 1 and 2 years",NA,32,1,0,16449.1513140713,14616.2407434935
"3",2017,"Missing/No response","Between 2 and 3 years",NA,25,1,0,21253.1160186576,18105.5039648762
"4",2017,"Missing/No response","Between 3 and 5 years",NA,30,1,9.19905686929126e-17,24622.7106143561,20401.8210930221
"5",2017,"POC","Less than a year",NA,169,1,4.53496394097971e-17,58626.9564813983,23947.542765319
"6",2017,"POC","Between 1 and 2 years",NA,114,1,0,41843.3652935937,20841.8172257323
"7",2017,"POC","Between 2 and 3 years",NA,86,1,0,46614.5644072392,23025.7315109427
"8",2017,"POC","Between 3 and 5 years",NA,127,1,0,80569.838009456,31664.5299137084
"9",2017,"White non-Hispanic","Less than a year",NA,211,1,4.23062118926203e-17,86432.1265617628,32935.8676549362
"10",2017,"White non-Hispanic","Between 1 and 2 years",NA,207,1,0,75613.7236741743,30018.4271495252
"11",2017,"White non-Hispanic","Between 2 and 3 years",NA,168,1,0,35890.0264304356,16872.2965633209
"12",2017,"White non-Hispanic","Between 3 and 5 years",NA,234,1,0,117378.80026643,38300.3587381942
"13",2019,"Missing/No response","Less than a year","Not Selected",19,1,9.66192672652142e-17,16765.7776502473,14590.7364175349
"14",2019,"Missing/No response","Between 1 and 2 years","Not Selected",14,0.993735545171183,0.0121500372542489,32997.677976526,34659.9895004853
"15",2019,"Missing/No response","Between 1 and 2 years","Selected",1,0.00626445482881722,0.0121500372542488,208.015567264624,342.185608150306
"16",2019,"Missing/No response","Between 2 and 3 years","Not Selected",14,0.990432695014636,0.0167226218722553,2701.29803428274,1722.36182116533
"17",2019,"Missing/No response","Between 2 and 3 years","Selected",1,0.00956730498536401,0.0167226218722553,26.0937893916813,42.9242835493152
"18",2019,"Missing/No response","Between 3 and 5 years","Not Selected",18,0.970769767596978,0.0498915005581063,15715.2253035207,12833.8673444744
"19",2019,"Missing/No response","Between 3 and 5 years","Selected",3,0.0292302324030222,0.0498915005581064,473.191175931296,736.789438264138
"20",2019,"POC","Less than a year","Not Selected",130,0.906650278444101,0.121650970932292,73419.5357825341,32077.250409687
"21",2019,"POC","Less than a year","Selected",8,0.0933497215558989,0.121650970932292,7559.35710274584,10291.1238040571
"22",2019,"POC","Between 1 and 2 years","Not Selected",98,0.900249288117459,0.13582545248565,55863.7055154569,22751.0523876667
"23",2019,"POC","Between 1 and 2 years","Selected",7,0.0997507118825407,0.13582545248565,6189.8903638304,8957.63886193335
"24",2019,"POC","Between 2 and 3 years","Not Selected",76,0.917391102492517,0.0772768259866925,30341.9143646319,12901.3087530076
"25",2019,"POC","Between 2 and 3 years","Selected",6,0.0826088975074828,0.0772768259866925,2732.21757559954,2529.82531652961
"26",2019,"POC","Between 3 and 5 years","Not Selected",92,0.871026002136908,0.169108305882212,34576.4208387283,13771.4800073419
"27",2019,"POC","Between 3 and 5 years","Selected",4,0.128973997863092,0.169108305882212,5119.77738486224,7376.06231699801
"28",2019,"White non-Hispanic","Less than a year","Not Selected",190,0.852542179192967,0.141045869979853,38018.0083373254,12625.7755132945
"29",2019,"White non-Hispanic","Less than a year","Selected",14,0.147457820807033,0.141045869979853,6575.68950565284,6998.76239695667
"30",2019,"White non-Hispanic","Between 1 and 2 years","Not Selected",182,0.876153739094273,0.0935528518204221,81780.1268870541,32788.4952464586
"31",2019,"White non-Hispanic","Between 1 and 2 years","Selected",16,0.123846260905727,0.0935528518204221,11559.8010707888,8744.70422849462
"32",2019,"White non-Hispanic","Between 2 and 3 years","Not Selected",154,0.970610809425723,0.0317250443171094,89220.1035599984,43772.7105651857
"33",2019,"White non-Hispanic","Between 2 and 3 years","Selected",6,0.0293891905742775,0.0317250443171094,2701.50157109107,2669.71847093537
"34",2019,"White non-Hispanic","Between 3 and 5 years","Not Selected",230,0.895315619296172,0.0966776977757767,100790.837785381,29090.3166413178
"35",2019,"White non-Hispanic","Between 3 and 5 years","Selected",22,0.104684380703828,0.0966776977757767,11784.9238936289,11645.9157399009
"36",2021,"Missing/No response","Less than a year","Not Selected",8,1,0,6595.2974,5758.85601952993
"37",2021,"Missing/No response","Between 1 and 2 years","Not Selected",11,0.860505344118794,0.175497464666084,9357.377,7993.97613009478
"38",2021,"Missing/No response","Between 1 and 2 years","Selected",2,0.139494655881206,0.175497464666084,1516.9041,1798.47199496329
"39",2021,"Missing/No response","Between 2 and 3 years","Not Selected",11,1,6.45597758803297e-17,5695.8491,3312.1520017866
"40",2021,"Missing/No response","Between 3 and 5 years","Not Selected",13,0.98909517003241,0.0141339597493545,19783.0191,11992.3354185626
"41",2021,"Missing/No response","Between 3 and 5 years","Selected",2,0.0109048299675898,0.0141339597493545,218.1089,253.269117881663
"42",2021,"POC","Less than a year","Not Selected",86,0.975398234622757,0.0298804794221325,79700.0138,21051.4939982643
"43",2021,"POC","Less than a year","Selected",3,0.0246017653772426,0.0298804794221325,2010.2159,2439.79246828229
"44",2021,"POC","Between 1 and 2 years","Not Selected",88,0.944235597185066,0.0774578773371146,68371.7879,18258.3091881771
"45",2021,"POC","Between 1 and 2 years","Selected",4,0.055764402814934,0.0774578773371146,4037.882,5840.96225359405
"46",2021,"POC","Between 2 and 3 years","Not Selected",45,0.934606524590159,0.0646491697348761,38053.34,15511.2610069292
"47",2021,"POC","Between 2 and 3 years","Selected",6,0.0653934754098411,0.0646491697348761,2662.5538,2594.18171529413
"48",2021,"POC","Between 3 and 5 years","Not Selected",71,0.904998987684319,0.0936660462726325,74168.0016,21812.7079571291
"49",2021,"POC","Between 3 and 5 years","Selected",7,0.0950010123156805,0.0936660462726325,7785.683,8104.32732007727
"50",2021,"White non-Hispanic","Less than a year","Not Selected",97,0.966825973451254,0.0419071018402197,88588.9247,21619.5639635784
"51",2021,"White non-Hispanic","Less than a year","Selected",4,0.0331740265487458,0.0419071018402197,3039.6901,3893.90273112329
"52",2021,"White non-Hispanic","Between 1 and 2 years","Not Selected",80,0.951055311745472,0.0480507483538799,67864.1698,18966.2293781744
"53",2021,"White non-Hispanic","Between 1 and 2 years","Selected",7,0.0489446882545284,0.0480507483538799,3492.5315,3461.73059584484
"54",2021,"White non-Hispanic","Between 2 and 3 years","Not Selected",82,0.920769714965044,0.0785222836765767,64731.9316,18546.6230171664
"55",2021,"White non-Hispanic","Between 2 and 3 years","Selected",10,0.0792302850349559,0.0785222836765767,5570.0457,5753.31603436074
"56",2021,"White non-Hispanic","Between 3 and 5 years","Not Selected",113,0.938792753083158,0.049608480595501,105931.2217,23386.8913334684
"57",2021,"White non-Hispanic","Between 3 and 5 years","Selected",12,0.061207246916842,0.049608480595501,6906.4854,5737.44880170833
"58",2023,"Missing/No response","Less than a year","Not Selected",22,0.710100643255457,0.363012726900324,6933.16514235166,4672.2465581304
"59",2023,"Missing/No response","Less than a year","Selected",2,0.289899356744543,0.363012726900324,2830.47217892517,4591.18044582929
"60",2023,"Missing/No response","Between 1 and 2 years","Not Selected",24,1,0,9914.24124498469,8474.89974776019
"61",2023,"Missing/No response","Between 2 and 3 years","Not Selected",31,0.988837759239313,0.0175838074360921,22563.71410185,13603.5850366699
"62",2023,"Missing/No response","Between 2 and 3 years","Selected",2,0.0111622407606871,0.0175838074360921,254.704684268843,375.537123778982
"63",2023,"Missing/No response","Between 3 and 5 years","Not Selected",49,0.883419195524939,0.168700217143661,35736.5690916858,16808.5274749568
"64",2023,"Missing/No response","Between 3 and 5 years","Selected",4,0.116580804475061,0.168700217143661,4715.99213034048,7354.79661975869
"65",2023,"POC","Less than a year","Not Selected",133,0.99856126026262,0.00149469596599853,51794.9750762447,15227.9423539694
"66",2023,"POC","Less than a year","Selected",3,0.00143873973738033,0.00149469596599852,74.6268574641263,74.4173992629062
"67",2023,"POC","Between 1 and 2 years","Not Selected",117,0.858461372117452,0.143472546539889,56134.4118462731,18586.0451720305
"68",2023,"POC","Between 1 and 2 years","Selected",5,0.141538627882548,0.143472546539889,9255.14867386285,10465.3574797406
"69",2023,"POC","Between 2 and 3 years","Not Selected",85,0.904031205513998,0.0889696164719813,53393.4809703163,20140.7608135262
"70",2023,"POC","Between 2 and 3 years","Selected",4,0.0959687944860016,0.0889696164719813,5668.06540623688,5395.9373696055
"71",2023,"POC","Between 3 and 5 years","Not Selected",113,0.963065143062561,0.0408953754560652,80225.2631989409,25657.921557107
"72",2023,"POC","Between 3 and 5 years","Selected",7,0.0369348569374392,0.0408953754560652,3076.74786110373,3394.75290329218
"73",2023,"White non-Hispanic","Less than a year","Not Selected",155,0.989697190220976,0.0100842467318034,55272.481615924,19319.1656353607
"74",2023,"White non-Hispanic","Less than a year","Selected",6,0.0103028097790244,0.0100842467318034,575.389997799572,531.252580857196
"75",2023,"White non-Hispanic","Between 1 and 2 years","Not Selected",163,0.910415544772471,0.116855190826276,49452.1714642347,18374.3339971023
"76",2023,"White non-Hispanic","Between 1 and 2 years","Selected",15,0.0895844552275285,0.116855190826276,4866.07007742708,6731.68359569876
"77",2023,"White non-Hispanic","Between 2 and 3 years","Not Selected",160,0.899225234645566,0.135352082614195,50406.506366471,17720.8315021996
"78",2023,"White non-Hispanic","Between 2 and 3 years","Selected",8,0.100774765354434,0.135352082614195,5648.97831567206,8183.43175226698
"79",2023,"White non-Hispanic","Between 3 and 5 years","Not Selected",158,0.943889378284392,0.059076093302961,79056.7434786976,24181.9877892673
"80",2023,"White non-Hispanic","Between 3 and 5 years","Selected",10,0.0561106217156077,0.0590760933029609,4699.62172417254,4999.54743966955
