"","variable_name","variable_nice_name","variable_value","demography_geography_name","demo_geography_nice_name","survey_year","count","prop","prop_se","est","est_se"
"31","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2017",2888,0.209140736496289,0.0121038595006361,1514810.37301676,99817.3770176607
"32","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2017",1658,0.20565483761654,0.0120854448452369,1489561.94045028,99557.5712749651
"33","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2017",5260,0.423148311067224,0.0141484940956327,3064871.34772297,134979.68774687
"34","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2017",1739,0.0519190849508909,0.00474979100547378,376050.929908356,34500.773392576
"35","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2017",2867,0.0942403970675443,0.00713592614518351,682585.006760113,53083.646610592
"36","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2017",3,0.00346105061478126,0.00206162211343617,2674.8052715932,1579.64003155972
"37","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2017",47,0.000908708721098672,0.000181295069578492,702.277761312387,124.434949169263
"38","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2017",355,0.196024706672609,0.0291913420505124,151493.860428141,22753.5028045596
"39","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2017",211,0.501056948810823,0.0459331013357434,387232.062519923,61148.5255379246
"40","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2017",663,0.21150784323912,0.0296374588305253,163459.699682855,22746.8025316386
"41","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2017",244,0.036778479543535,0.0139633151209307,28423.5285505778,10877.3188657871
"42","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2017",451,0.0502622623980327,0.0159139775579575,38844.2063951022,12408.3196084394
"43","mode_characterization","Trip Mode","Bike/Micromobility","hhincome_broad","Household Income","2019",110,0.00343755867614534,0.000981584596615431,5123.41897300786,1433.42843430216
"44","mode_characterization","Trip Mode","Drive HOV2","hhincome_broad","Household Income","2019",340,0.184777984334941,0.018014122557746,275397.489882951,26206.9010180582
"45","mode_characterization","Trip Mode","Drive HOV3+","hhincome_broad","Household Income","2019",239,0.136129103170806,0.0136004756923343,202890.043682374,18704.9925804835
"46","mode_characterization","Trip Mode","Drive SOV","hhincome_broad","Household Income","2019",564,0.479130481317925,0.031299370873552,714107.431988125,76344.266958487
"47","mode_characterization","Trip Mode","Transit","hhincome_broad","Household Income","2019",472,0.0899991986725679,0.0135371931354503,134136.940042458,20325.2954375768
"48","mode_characterization","Trip Mode","Walk","hhincome_broad","Household Income","2019",715,0.106525673827615,0.0210809072173048,158768.39054071,33657.4884737714
"49","mode_characterization","Trip Mode","Airplane","hhincome_broad","Household Income","2019",9,0.000682061623011824,0.000426180554981909,1511.02250474674,941.544494566446
