"","survey","mode_freq_3","count","count_moe","reliability","share","share_moe","sample_size"
"1","2017/2019","1-3 times in the past 30 days",347474.013458804,55274.6882927249,0.0967025818305841,0.0880317539592776,0.0130725223465907,969
"2","2017/2019","1 day/week",344494.34212077,55737.1100633536,0.0983550019174825,0.0872768609775023,0.0129648855559518,1025
"3","2017/2019","2-4 days/week",718228.965612993,80324.381169846,0.0679858560199173,0.181961680984139,0.0182191205432817,2743
"4","2017/2019","5 days/week",326297.937936149,48876.7163729101,0.0910587721648717,0.0826668432090396,0.0117558828623327,1334
"5","2017/2019","6-7 days/week",425636.358924746,62193.5804634813,0.0888261702869453,0.107834007072959,0.0151071165325183,2408
"6","2017/2019","I do this, but not in the past 30 days",250148.58322026,49563.2734979387,0.120447012551297,0.0633745767405959,0.0116750844827706,507
"7","2017/2019","I never do this",873474.275775944,109247.724869828,0.0760319938939591,0.22129272853949,0.0219210175667953,1573
"8","2021","1-3 times in the past 30 days",447326.332548368,50767.1988314443,0.0689910626782378,0.132591104598683,0.0140356073913858,536
"9","2021","1 day/week",260987.776914533,37229.6262580344,0.0867166727644602,0.0773588655751916,0.0106073735356501,377
"10","2021","2-4 days/week",897397.333314349,71770.5683104443,0.0486178453947977,0.265995750820675,0.0191505030178854,1147
"11","2021","5 days/week",403430.421332791,47575.2290843534,0.0716879798252123,0.119580005246937,0.0138164977129203,500
"12","2021","6-7 days/week",586737.643593856,54007.4540002371,0.0559556377300138,0.173913732801156,0.0157089313715064,806
"13","2021","I do this, but not in the past 30 days",277296.894408772,41199.2945512025,0.0903189482677494,0.0821930185106372,0.0118386014433717,353
"14","2021","I never do this",500551.676420966,61406.9590192684,0.07457663240145,0.148367522446719,0.0165721653486075,583
