"","survey","final_home_is_rgc","mode_simple","count","count_moe","reliability","share","share_moe","sample_size"
"1","2017/2019","Not RGC","Walk",1210935.03795899,161132.179353541,0.0808901299785928,0.0964873090989448,0.012114764616277,7802
"2","2017/2019","RGC","Walk",325789.494374463,41398.349074107,0.0772467193831211,0.256257325380643,0.0345373849215851,7820
"3","2021","Not RGC","Walk",1667869.15745161,182947.84675934,0.0666805882304135,0.132942055460687,0.0141265889131353,1434
"4","2021","RGC","Walk",423623.863673919,97534.6466194809,0.139962791467586,0.317045171303644,0.0621599149511933,421
